學年別,縣市別,總計學生數計,總計學生數男,總計學生數女,總計1年級計,總計1年級男,總計1年級女,總計2年級計,總計2年級男,總計2年級女,總計3年級計,總計3年級男,總計3年級女,總計4年級計,總計4年級男,總計4年級女,總計延修生計,總計延修生男,總計延修生女,總計上學年畢業生數計,總計上學年畢業生數男,總計上學年畢業生數女,國立學生數計,國立學生數男,國立學生數女,國立1年級計,國立1年級男,國立1年級女,國立2年級計,國立2年級男,國立2年級女,國立3年級計,國立3年級男,國立3年級女,國立4年級計,國立4年級男,國立4年級女,國立延修生計,國立延修生男,國立延修生女,國立上學年畢業生數計,國立上學年畢業生數男,國立上學年畢業生數女,直轄市立學生數計,直轄市立學生數男,直轄市立學生數女,直轄市立1年級計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級計,直轄市立3年級男,直轄市立3年級女,直轄市立4年級計,直轄市立4年級男,直轄市立4年級女,直轄市立延修生計,直轄市立延修生男,直轄市立延修生女,直轄市立上學年畢業生數計,直轄市立上學年畢業生數男,直轄市立上學年畢業生數女,縣市立學生數計,縣市立學生數男,縣市立學生數女,縣市立1年級計,縣市立1年級男,縣市立1年級女,縣市立2年級計,縣市立2年級男,縣市立2年級女,縣市立3年級計,縣市立3年級男,縣市立3年級女,縣市立4年級計,縣市立4年級男,縣市立4年級女,縣市立延修生計,縣市立延修生男,縣市立延修生女,縣市立上學年畢業生數計,縣市立上學年畢業生數男,縣市立上學年畢業生數女,私立學生數計,私立學生數男,私立學生數女,私立1年級計,私立1年級男,私立1年級女,私立2年級計,私立2年級男,私立2年級女,私立3年級計,私立3年級男,私立3年級女,私立4年級計,私立4年級男,私立4年級女,私立延修生計,私立延修生男,私立延修生女,私立上學年畢業生數計,私立上學年畢業生數男,私立上學年畢業生數女
102學年,新竹縣,5553,3330,2223,1901,1151,750,1934,1160,774,1716,1017,699,-,-,-,2,2,-,2006,1201,805,779,404,375,272,144,128,262,132,130,245,128,117,-,-,-,-,-,-,238,115,123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,226,93,133,79,27,52,80,34,46,67,32,35,-,-,-,-,-,-,72,36,36,4548,2833,1715,1550,980,570,1592,994,598,1404,857,547,-,-,-,2,2,-,1696,1050,646
102學年,苗栗縣,8976,4984,3992,2925,1668,1257,3132,1709,1423,2914,1603,1311,-,-,-,5,4,1,2769,1458,1311,4815,2547,2268,1706,916,790,1647,845,802,1457,782,675,-,-,-,5,4,1,1409,721,688,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4161,2437,1724,1219,752,467,1485,864,621,1457,821,636,-,-,-,-,-,-,1360,737,623
102學年,彰化縣,22435,12581,9854,7151,4049,3102,7639,4264,3375,7640,4264,3376,-,-,-,5,4,1,7414,4114,3300,11948,6862,5086,3987,2285,1702,4009,2317,1692,3947,2256,1691,-,-,-,5,4,1,3778,2108,1670,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10487,5719,4768,3164,1764,1400,3630,1947,1683,3693,2008,1685,-,-,-,-,-,-,3636,2006,1630
102學年,南投縣,8471,4419,4052,3005,1647,1358,2781,1404,1377,2679,1362,1317,-,-,-,6,6,-,2435,1243,1192,6059,3141,2918,2209,1205,1004,1937,970,967,1907,960,947,-,-,-,6,6,-,1824,912,912,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2412,1278,1134,796,442,354,844,434,410,772,402,370,-,-,-,-,-,-,611,331,280
102學年,雲林縣,10198,6148,4050,3384,2065,1319,3376,2052,1324,3435,2028,1407,-,-,-,3,3,-,2981,1680,1301,5450,3296,2154,1873,1131,742,1770,1087,683,1804,1075,729,-,-,-,3,3,-,1691,956,735,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4748,2852,1896,1511,934,577,1606,965,641,1631,953,678,-,-,-,-,-,-,1290,724,566
102學年,嘉義縣,5904,4031,1873,2100,1446,654,2009,1337,672,1795,1248,547,-,-,-,-,-,-,1995,1307,688,1895,1617,278,628,548,80,649,546,103,618,523,95,-,-,-,-,-,-,582,501,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4009,2414,1595,1472,898,574,1360,791,569,1177,725,452,-,-,-,-,-,-,1413,806,607
102學年,屏東縣,10519,6662,3857,3521,2242,1279,3563,2247,1316,3413,2153,1260,-,-,-,22,20,2,3266,2017,1249,5284,3764,1520,1837,1294,543,1782,1276,506,1644,1175,469,-,-,-,21,19,2,1579,1141,438,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5235,2898,2337,1684,948,736,1781,971,810,1769,978,791,-,-,-,1,1,-,1687,876,811
102學年,臺東縣,1982,1411,571,791,568,223,647,458,189,529,374,155,-,-,-,15,11,4,545,369,176,1032,729,303,426,304,122,323,216,107,270,199,71,-,-,-,13,10,3,287,203,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,950,682,268,365,264,101,324,242,82,259,175,84,-,-,-,2,1,1,258,166,92
102學年,花蓮縣,4497,2698,1799,1577,978,599,1487,896,591,1421,815,606,-,-,-,12,9,3,1425,768,657,3768,2210,1558,1351,824,527,1218,713,505,1187,664,523,-,-,-,12,9,3,1171,603,568,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,729,488,241,226,154,72,269,183,86,234,151,83,-,-,-,-,-,-,254,165,89
102學年,澎湖縣,1749,978,771,597,337,260,622,344,278,511,282,229,-,-,-,19,15,4,480,262,218,1749,978,771,597,337,260,622,344,278,511,282,229,-,-,-,19,15,4,480,262,218,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,基隆市,7217,3827,3390,2322,1310,1012,2350,1233,1117,2542,1281,1261,-,-,-,3,3,-,2613,1315,1298,2922,1489,1433,936,509,427,1022,501,521,964,479,485,-,-,-,-,-,-,943,436,507,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4295,2338,1957,1386,801,585,1328,732,596,1578,802,776,-,-,-,3,3,-,1670,879,791
102學年,新竹市,5982,3221,2761,1996,1125,871,2050,1090,960,1933,1003,930,-,-,-,3,3,-,1767,899,868,1780,963,817,600,338,262,597,304,293,583,321,262,-,-,-,-,-,-,597,326,271,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,359,140,219,126,54,72,114,43,71,119,43,76,-,-,-,-,-,-,-,-,-,3843,2118,1725,1270,733,537,1339,743,596,1231,639,592,-,-,-,3,3,-,1170,573,597
102學年,嘉義市,9659,4218,5441,3307,1437,1870,3214,1376,1838,3138,1405,1733,-,-,-,-,-,-,2840,1244,1596,5218,2108,3110,1811,718,1093,1733,688,1045,1674,702,972,-,-,-,-,-,-,1547,596,951,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4441,2110,2331,1496,719,777,1481,688,793,1464,703,761,-,-,-,-,-,-,1293,648,645
102學年,金門縣,993,598,395,318,196,122,329,208,121,343,191,152,-,-,-,3,3,-,332,179,153,993,598,395,318,196,122,329,208,121,343,191,152,-,-,-,3,3,-,332,179,153,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,369436,205292,164144,130655,73666,56989,122179,67624,54555,115410,63284,52126,858,434,424,334,284,50,109863,59472,50391,106334,63156,43178,37106,22341,14765,35229,20966,14263,33889,19751,14138,-,-,-,110,98,12,33043,18970,14073,27646,17563,10083,9288,5961,3327,8960,5742,3218,8724,5491,3233,663,358,305,11,11,-,8324,5177,3147,1024,396,628,599,229,370,353,131,222,72,36,36,-,-,-,-,-,-,74,33,41,234432,124177,110255,83662,45135,38527,77637,40785,36852,72725,38006,34719,195,76,119,213,175,38,68422,35292,33130
101學年,新北市,46128,25437,20691,16327,9216,7111,15306,8391,6915,14244,7701,6543,195,76,119,56,53,3,13691,7289,6402,8456,6028,2428,2958,2162,796,2821,2013,808,2649,1827,822,-,-,-,28,26,2,2616,1772,844,2228,891,1337,776,333,443,733,289,444,719,269,450,-,-,-,-,-,-,715,247,468,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35444,18518,16926,12593,6721,5872,11752,6089,5663,10876,5605,5271,195,76,119,28,27,1,10360,5270,5090
101學年,臺北市,46469,25603,20866,15489,8792,6697,15636,8487,7149,14572,7885,6687,663,358,305,109,81,28,14026,7680,6346,456,138,318,125,36,89,151,43,108,176,57,119,-,-,-,4,2,2,148,42,106,17144,11787,5357,5640,3954,1686,5516,3842,1674,5323,3631,1692,663,358,305,2,2,-,5106,3491,1615,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28869,13678,15191,9724,4802,4922,9969,4602,5367,9073,4197,4876,-,-,-,103,77,26,8772,4147,4625
101學年,臺中市,55927,29850,26077,19993,10799,9194,18616,9933,8683,17251,9060,8191,-,-,-,67,58,9,16517,8852,7665,14943,9381,5562,5188,3290,1898,4895,3063,1832,4854,3022,1832,-,-,-,6,6,-,4710,2929,1781,78,32,46,78,32,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40906,20437,20469,14727,7477,7250,13721,6870,6851,12397,6038,6359,-,-,-,61,52,9,11807,5923,5884
101學年,臺南市,27083,15513,11570,9677,5620,4057,9109,5191,3918,8287,4692,3595,-,-,-,10,10,-,8199,4627,3572,11622,7095,4527,4022,2525,1497,3964,2406,1558,3629,2157,1472,-,-,-,7,7,-,3704,2237,1467,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15461,8418,7043,5655,3095,2560,5145,2785,2360,4658,2535,2123,-,-,-,3,3,-,4495,2390,2105
101學年,高雄市,44683,25324,19359,15974,9110,6864,14509,8267,6242,14189,7936,6253,-,-,-,11,11,-,12816,6888,5928,5673,3162,2511,1955,1086,869,1890,1062,828,1826,1012,814,-,-,-,2,2,-,1773,931,842,8196,4853,3343,2794,1642,1152,2711,1611,1100,2682,1591,1091,-,-,-,9,9,-,2503,1439,1064,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30814,17309,13505,11225,6382,4843,9908,5594,4314,9681,5333,4348,-,-,-,-,-,-,8540,4518,4022
101學年,宜蘭縣,5405,3401,2004,1934,1235,699,1756,1113,643,1711,1049,662,-,-,-,4,4,-,1681,1027,654,5405,3401,2004,1934,1235,699,1756,1113,643,1711,1049,662,-,-,-,4,4,-,1681,1027,654,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,桃園縣,35997,19214,16783,13131,7006,6125,11759,6226,5533,11099,5976,5123,-,-,-,8,6,2,10279,5472,4807,6237,3450,2787,2160,1231,929,2064,1121,943,2013,1098,915,-,-,-,-,-,-,1920,1022,898,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,562,203,359,399,150,249,163,53,110,-,-,-,-,-,-,-,-,-,-,-,-,29198,15561,13637,10572,5625,4947,9532,5052,4480,9086,4878,4208,-,-,-,8,6,2,8359,4450,3909
101學年,新竹縣,5949,3607,2342,2127,1313,814,1772,1055,717,2050,1239,811,-,-,-,-,-,-,2102,1246,856,758,388,370,270,140,130,248,131,117,240,117,123,-,-,-,-,-,-,242,131,111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,220,103,117,81,35,46,67,32,35,72,36,36,-,-,-,-,-,-,74,33,41,4971,3116,1855,1776,1138,638,1457,892,565,1738,1086,652,-,-,-,-,-,-,1786,1082,704
101學年,苗栗縣,9265,5048,4217,3329,1818,1511,3030,1664,1366,2897,1557,1340,-,-,-,9,9,-,2825,1570,1255,4641,2438,2203,1699,868,831,1486,804,682,1447,757,690,-,-,-,9,9,-,1421,760,661,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4624,2610,2014,1630,950,680,1544,860,684,1450,800,650,-,-,-,-,-,-,1404,810,594
101學年,彰化縣,23491,13235,10256,8155,4651,3504,7800,4374,3426,7532,4206,3326,-,-,-,4,4,-,7318,4031,3287,11975,6879,5096,4138,2423,1715,3985,2287,1698,3848,2165,1683,-,-,-,4,4,-,3851,2124,1727,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11516,6356,5160,4017,2228,1789,3815,2087,1728,3684,2041,1643,-,-,-,-,-,-,3467,1907,1560
101學年,南投縣,8356,4340,4016,2995,1559,1436,2791,1435,1356,2563,1340,1223,-,-,-,7,6,1,2209,1040,1169,5836,2970,2866,1993,1020,973,1966,1000,966,1870,944,926,-,-,-,7,6,1,1669,791,878,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2520,1370,1150,1002,539,463,825,435,390,693,396,297,-,-,-,-,-,-,540,249,291
101學年,雲林縣,10191,6068,4123,3601,2211,1390,3547,2116,1431,3038,1737,1301,-,-,-,5,4,1,3064,1748,1316,5394,3222,2172,1812,1112,700,1842,1110,732,1735,996,739,-,-,-,5,4,1,1664,969,695,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4797,2846,1951,1789,1099,690,1705,1006,699,1303,741,562,-,-,-,-,-,-,1400,779,621
101學年,嘉義縣,6151,4144,2007,2173,1451,722,1879,1305,574,2099,1388,711,-,-,-,-,-,-,2033,1350,683,1897,1617,280,670,567,103,631,535,96,596,515,81,-,-,-,-,-,-,630,525,105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4254,2527,1727,1503,884,619,1248,770,478,1503,873,630,-,-,-,-,-,-,1403,825,578
101學年,屏東縣,10836,6857,3979,3866,2471,1395,3572,2264,1308,3384,2111,1273,-,-,-,14,11,3,3260,1938,1322,5226,3768,1458,1855,1336,519,1700,1219,481,1658,1203,455,-,-,-,13,10,3,1625,1100,525,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5610,3089,2521,2011,1135,876,1872,1045,827,1726,908,818,-,-,-,1,1,-,1635,838,797
101學年,臺東縣,2064,1482,582,799,579,220,631,456,175,624,439,185,-,-,-,10,8,2,535,351,184,1123,819,304,415,290,125,345,259,86,353,262,91,-,-,-,10,8,2,330,218,112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,941,663,278,384,289,95,286,197,89,271,177,94,-,-,-,-,-,-,205,133,72
101學年,花蓮縣,4845,2839,2006,1753,1087,666,1554,905,649,1537,846,691,-,-,-,1,1,-,1446,830,616,3913,2234,1679,1395,839,556,1273,730,543,1244,664,580,-,-,-,1,1,-,1163,632,531,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,932,605,327,358,248,110,281,175,106,293,182,111,-,-,-,-,-,-,283,198,85
101學年,澎湖縣,1779,1004,775,695,394,301,542,303,239,537,303,234,-,-,-,5,4,1,551,299,252,1779,1004,775,695,394,301,542,303,239,537,303,234,-,-,-,5,4,1,551,299,252,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,基隆市,8128,4260,3868,2616,1404,1212,2747,1415,1332,2756,1432,1324,-,-,-,9,9,-,2700,1238,1462,3086,1528,1558,1076,528,548,1017,523,494,993,477,516,-,-,-,-,-,-,979,392,587,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5042,2732,2310,1540,876,664,1730,892,838,1763,955,808,-,-,-,9,9,-,1721,846,875
101學年,新竹市,6018,3180,2838,2197,1199,998,2015,1052,963,1806,929,877,-,-,-,-,-,-,1449,613,836,1793,961,832,606,308,298,586,323,263,601,330,271,-,-,-,-,-,-,567,299,268,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,242,90,152,119,44,75,123,46,77,-,-,-,-,-,-,-,-,-,-,-,-,3983,2129,1854,1472,847,625,1306,683,623,1205,599,606,-,-,-,-,-,-,882,314,568
101學年,嘉義市,9593,4248,5345,3470,1517,1953,3242,1468,1774,2879,1261,1618,-,-,-,2,2,-,2863,1207,1656,5043,2035,3008,1786,717,1069,1701,717,984,1554,599,955,-,-,-,2,2,-,1500,594,906,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4550,2213,2337,1684,800,884,1541,751,790,1325,662,663,-,-,-,-,-,-,1363,613,750
101學年,金門縣,1078,638,440,354,234,120,366,204,162,355,197,158,-,-,-,3,3,-,299,176,123,1078,638,440,354,234,120,366,204,162,355,197,158,-,-,-,3,3,-,299,176,123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,366449,203473,162976,131943,74320,57623,120191,66511,53680,113230,62060,51170,851,407,444,234,175,59,109837,59793,50044,105253,62109,43144,36571,21986,14585,34688,20390,14298,33922,19679,14243,-,-,-,72,54,18,33025,18586,14439,27712,17581,10131,9350,6034,3316,8956,5666,3290,8721,5525,3196,678,351,327,7,5,2,8327,5060,3267,499,198,301,354,130,224,71,35,36,74,33,41,-,-,-,-,-,-,-,-,-,232985,123585,109400,85668,46170,39498,76476,40420,36056,70513,36823,33690,173,56,117,155,116,39,68485,36147,32338
100學年,新北市,45913,25111,20802,16668,9290,7378,14937,8137,6800,14126,7621,6505,173,56,117,9,7,2,14025,7446,6579,8374,5869,2505,2909,2101,808,2726,1889,837,2737,1878,859,-,-,-,2,1,1,2682,1805,877,2215,831,1384,764,305,459,732,277,455,716,247,469,-,-,-,3,2,1,685,213,472,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35324,18411,16913,12995,6884,6111,11479,5971,5508,10673,5496,5177,173,56,117,4,4,-,10658,5428,5230
100學年,臺北市,47823,26464,21359,17134,9517,7617,15225,8317,6908,14686,8205,6481,678,351,327,100,74,26,14027,7705,6322,478,139,339,152,42,110,176,56,120,150,41,109,-,-,-,-,-,-,134,44,90,17386,11945,5441,5814,4080,1734,5484,3753,1731,5409,3760,1649,678,351,327,1,1,-,5115,3410,1705,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29959,14380,15579,11168,5395,5773,9565,4508,5057,9127,4404,4723,-,-,-,99,73,26,8778,4251,4527
100學年,臺中市,54378,29262,25116,19717,10676,9041,17739,9408,8331,16911,9167,7744,-,-,-,11,11,-,15725,8359,7366,14710,9218,5492,5024,3158,1866,4912,3075,1837,4772,2983,1789,-,-,-,2,2,-,4719,2924,1795,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39668,20044,19624,14693,7518,7175,12827,6333,6494,12139,6184,5955,-,-,-,9,9,-,11006,5435,5571
100學年,臺南市,26480,15116,11364,9628,5555,4073,8513,4825,3688,8331,4728,3603,-,-,-,8,8,-,8416,4791,3625,11558,6999,4559,4117,2514,1603,3688,2204,1484,3745,2273,1472,-,-,-,8,8,-,3776,2129,1647,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14922,8117,6805,5511,3041,2470,4825,2621,2204,4586,2455,2131,-,-,-,-,-,-,4640,2662,1978
100學年,高雄市,44284,24940,19344,16076,9299,6777,14892,8384,6508,13311,7253,6058,-,-,-,5,4,1,13233,7297,5936,5639,3114,2525,1968,1113,855,1858,1042,816,1812,958,854,-,-,-,1,1,-,1777,924,853,8111,4805,3306,2772,1649,1123,2740,1636,1104,2596,1518,1078,-,-,-,3,2,1,2527,1437,1090,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30534,17021,13513,11336,6537,4799,10294,5706,4588,8903,4777,4126,-,-,-,1,1,-,8929,4936,3993
100學年,宜蘭縣,5416,3399,2017,1888,1212,676,1778,1103,675,1740,1075,665,-,-,-,10,9,1,1653,998,655,5416,3399,2017,1888,1212,676,1778,1103,675,1740,1075,665,-,-,-,10,9,1,1653,998,655,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,桃園縣,34344,18559,15785,12376,6677,5699,11509,6280,5229,10459,5602,4857,-,-,-,-,-,-,10065,5368,4697,6188,3399,2789,2138,1176,962,2072,1152,920,1978,1071,907,-,-,-,-,-,-,1910,983,927,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,167,55,112,167,55,112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27989,15105,12884,10071,5446,4625,9437,5128,4309,8481,4531,3950,-,-,-,-,-,-,8155,4385,3770
100學年,新竹縣,6259,3758,2501,1952,1182,770,2152,1298,854,2148,1273,875,-,-,-,7,5,2,1838,1141,697,747,389,358,258,136,122,244,119,125,244,133,111,-,-,-,1,1,-,254,119,135,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,212,100,112,67,32,35,71,35,36,74,33,41,-,-,-,-,-,-,-,-,-,5300,3269,2031,1627,1014,613,1837,1144,693,1830,1107,723,-,-,-,6,4,2,1584,1022,562
100學年,苗栗縣,9161,5105,4056,3243,1805,1438,3025,1652,1373,2889,1646,1243,-,-,-,4,2,2,2521,1372,1149,4425,2376,2049,1513,820,693,1476,782,694,1432,772,660,-,-,-,4,2,2,1311,708,603,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4736,2729,2007,1730,985,745,1549,870,679,1457,874,583,-,-,-,-,-,-,1210,664,546
100學年,彰化縣,23424,13169,10255,8231,4685,3546,7773,4376,3397,7412,4100,3312,-,-,-,8,8,-,7791,4399,3392,11857,6717,5140,4080,2359,1721,3882,2192,1690,3888,2159,1729,-,-,-,7,7,-,3836,2123,1713,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11567,6452,5115,4151,2326,1825,3891,2184,1707,3524,1941,1583,-,-,-,1,1,-,3955,2276,1679
100學年,南投縣,7897,4045,3852,3013,1566,1447,2608,1371,1237,2264,1098,1166,-,-,-,12,10,2,1967,967,1000,5654,2842,2812,2036,1049,987,1923,982,941,1694,811,883,-,-,-,1,-,1,1484,711,773,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2243,1203,1040,977,517,460,685,389,296,570,287,283,-,-,-,11,10,1,483,256,227
100學年,雲林縣,10190,5960,4230,3854,2327,1527,3192,1840,1352,3115,1778,1337,-,-,-,29,15,14,3068,1793,1275,5399,3180,2219,1904,1149,755,1774,1024,750,1704,1001,703,-,-,-,17,6,11,1729,966,763,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4791,2780,2011,1950,1178,772,1418,816,602,1411,777,634,-,-,-,12,9,3,1339,827,512
100學年,嘉義縣,6434,4360,2074,2107,1474,633,2193,1463,730,2134,1423,711,-,-,-,-,-,-,2271,1453,818,1886,1601,285,653,554,99,601,520,81,632,527,105,-,-,-,-,-,-,642,518,124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4548,2759,1789,1454,920,534,1592,943,649,1502,896,606,-,-,-,-,-,-,1629,935,694
