學年別,縣市別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,副學士(五專)計小計,副學士(五專)計男,副學士(五專)計女,副學士(五專)國立小計,副學士(五專)國立男,副學士(五專)國立女,副學士(五專)直轄市立小計,副學士(五專)直轄市立男,副學士(五專)直轄市立女,副學士(五專)私立小計,副學士(五專)私立男,副學士(五專)私立女,副學士(二專)計小計,副學士(二專)計男,副學士(二專)計女,副學士(二專)國立小計,副學士(二專)國立男,副學士(二專)國立女,副學士(二專)直轄市立小計,副學士(二專)直轄市立男,副學士(二專)直轄市立女,副學士(二專)私立小計,副學士(二專)私立男,副學士(二專)私立女,學士計小計,學士計男,學士計女,學士國立小計,學士國立男,學士國立女,學士直轄市立小計,學士直轄市立男,學士直轄市立女,學士私立小計,學士私立男,學士私立女,碩士計小計,碩士計男,碩士計女,碩士國立小計,碩士國立男,碩士國立女,碩士直轄市立小計,碩士直轄市立男,碩士直轄市立女,碩士私立小計,碩士私立男,碩士私立女,博士計小計,博士計男,博士計女,博士國立小計,博士國立男,博士國立女,博士直轄市立小計,博士直轄市立男,博士直轄市立女,博士私立小計,博士私立男,博士私立女
99學年,雲林縣,7107,4242,2865,5463,3654,1809,-,-,-,1644,588,1056,-,-,-,-,-,-,-,-,-,-,-,-,237,88,149,-,-,-,-,-,-,237,88,149,5168,3002,2166,3802,2519,1283,-,-,-,1366,483,883,1642,1105,537,1601,1088,513,-,-,-,41,17,24,60,47,13,60,47,13,-,-,-,-,-,-
99學年,嘉義縣,6624,3854,2770,3065,1733,1332,-,-,-,3559,2121,1438,41,36,5,-,-,-,-,-,-,41,36,5,187,136,51,-,-,-,-,-,-,187,136,51,4277,2457,1820,1440,735,705,-,-,-,2837,1722,1115,1986,1120,866,1497,897,600,-,-,-,489,223,266,133,105,28,128,101,27,-,-,-,5,4,1
99學年,屏東縣,10911,4585,6326,4783,2095,2688,-,-,-,6128,2490,3638,1064,248,816,-,-,-,-,-,-,1064,248,816,412,201,211,-,-,-,-,-,-,412,201,211,7955,3388,4567,3421,1399,2022,-,-,-,4534,1989,2545,1462,737,725,1344,685,659,-,-,-,118,52,66,18,11,7,18,11,7,-,-,-,-,-,-
99學年,臺東縣,1375,651,724,1375,651,724,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,273,164,109,273,164,109,-,-,-,-,-,-,731,339,392,731,339,392,-,-,-,-,-,-,370,147,223,370,147,223,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-
99學年,花蓮縣,5135,2429,2706,2527,1249,1278,-,-,-,2608,1180,1428,231,34,197,-,-,-,-,-,-,231,34,197,89,60,29,-,-,-,-,-,-,89,60,29,3684,1731,1953,1566,712,854,-,-,-,2118,1019,1099,1093,575,518,933,516,417,-,-,-,160,59,101,38,29,9,28,21,7,-,-,-,10,8,2
99學年,澎湖縣,746,390,356,746,390,356,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,3,5,8,3,5,-,-,-,-,-,-,698,367,331,698,367,331,-,-,-,-,-,-,40,20,20,40,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,基隆市,3934,1981,1953,2282,1546,736,-,-,-,1652,435,1217,334,59,275,-,-,-,-,-,-,334,59,275,54,25,29,-,-,-,-,-,-,54,25,29,2563,1231,1332,1323,882,441,-,-,-,1240,349,891,943,634,309,919,632,287,-,-,-,24,2,22,40,32,8,40,32,8,-,-,-,-,-,-
99學年,新竹市,13522,7927,5595,7792,5128,2664,-,-,-,5730,2799,2931,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7921,4128,3793,3104,1879,1225,-,-,-,4817,2249,2568,4973,3265,1708,4083,2730,1353,-,-,-,890,535,355,628,534,94,605,519,86,-,-,-,23,15,8
99學年,嘉義市,4119,1758,2361,2988,1411,1577,-,-,-,1131,347,784,347,39,308,-,-,-,-,-,-,347,39,308,137,55,82,-,-,-,-,-,-,137,55,82,2774,1252,1522,2127,999,1128,-,-,-,647,253,394,845,402,443,845,402,443,-,-,-,-,-,-,16,10,6,16,10,6,-,-,-,-,-,-
99學年,金門縣,511,268,243,511,268,243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,483,245,238,483,245,238,-,-,-,-,-,-,28,23,5,28,23,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,315039,156084,158955,103038,56403,46635,1570,600,970,210431,99081,111350,13755,3141,10614,1257,194,1063,-,-,-,12498,2947,9551,10913,5343,5570,1456,510,946,-,-,-,9457,4833,4624,227174,109686,117488,59163,30641,28522,893,372,521,167118,78673,88445,59492,35165,24327,38053,22706,15347,676,228,448,20763,12231,8532,3705,2749,956,3109,2352,757,1,-,1,595,397,198
98學年,臺北市,59879,27908,31971,26365,13619,12746,1570,600,970,31944,13689,18255,1277,272,1005,405,62,343,-,-,-,872,210,662,2029,740,1289,430,92,338,-,-,-,1599,648,951,39614,17458,22156,12973,6251,6722,893,372,521,25748,10835,14913,15712,8572,7140,11421,6413,5008,676,228,448,3615,1931,1684,1247,866,381,1136,801,335,1,-,1,110,65,45
98學年,高雄市,15618,7641,7977,11642,6628,5014,-,-,-,3976,1013,2963,796,112,684,73,52,21,-,-,-,723,60,663,118,46,72,118,46,72,-,-,-,-,-,-,10355,4913,5442,7498,4111,3387,-,-,-,2857,802,2055,4095,2399,1696,3738,2265,1473,-,-,-,357,134,223,254,171,83,215,154,61,-,-,-,39,17,22
98學年,臺北縣,36243,17549,18694,3547,1408,2139,-,-,-,32696,16141,16555,1641,810,831,-,-,-,-,-,-,1641,810,831,1929,919,1010,-,-,-,-,-,-,1929,919,1010,28516,13494,15022,2671,939,1732,-,-,-,25845,12555,13290,4043,2254,1789,857,459,398,-,-,-,3186,1795,1391,114,72,42,19,10,9,-,-,-,95,62,33
98學年,宜蘭縣,3273,1922,1351,1209,827,382,-,-,-,2064,1095,969,380,74,306,-,-,-,-,-,-,380,74,306,364,202,162,-,-,-,-,-,-,364,202,162,2076,1348,728,1045,708,337,-,-,-,1031,640,391,447,293,154,164,119,45,-,-,-,283,174,109,6,5,1,-,-,-,-,-,-,6,5,1
98學年,桃園縣,26761,14180,12581,3620,2427,1193,-,-,-,23141,11753,11388,1208,-,1208,-,-,-,-,-,-,1208,-,1208,370,100,270,-,-,-,-,-,-,370,100,270,19761,10455,9306,1640,1045,595,-,-,-,18121,9410,8711,5083,3363,1720,1786,1229,557,-,-,-,3297,2134,1163,339,262,77,194,153,41,-,-,-,145,109,36
98學年,新竹縣,5007,3019,1988,-,-,-,-,-,-,5007,3019,1988,240,138,102,-,-,-,-,-,-,240,138,102,66,30,36,-,-,-,-,-,-,66,30,36,4468,2669,1799,-,-,-,-,-,-,4468,2669,1799,233,182,51,-,-,-,-,-,-,233,182,51,-,-,-,-,-,-,-,-,-,-,-,-
98學年,苗栗縣,5610,2823,2787,1548,1047,501,-,-,-,4062,1776,2286,895,224,671,-,-,-,-,-,-,895,224,671,753,455,298,-,-,-,-,-,-,753,455,298,3797,2040,1757,1435,975,460,-,-,-,2362,1065,1297,165,104,61,113,72,41,-,-,-,52,32,20,-,-,-,-,-,-,-,-,-,-,-,-
98學年,臺中縣,16004,7343,8661,2466,1763,703,-,-,-,13538,5580,7958,387,8,379,-,-,-,-,-,-,387,8,379,481,364,117,274,196,78,-,-,-,207,168,39,13380,5950,7430,1921,1340,581,-,-,-,11459,4610,6849,1747,1015,732,271,227,44,-,-,-,1476,788,688,9,6,3,-,-,-,-,-,-,9,6,3
98學年,彰化縣,9422,5530,3892,2054,992,1062,-,-,-,7368,4538,2830,-,-,-,-,-,-,-,-,-,-,-,-,425,279,146,-,-,-,-,-,-,425,279,146,6935,4066,2869,996,465,531,-,-,-,5939,3601,2338,1986,1136,850,1004,496,508,-,-,-,982,640,342,76,49,27,54,31,23,-,-,-,22,18,4
98學年,南投縣,2705,1696,1009,1281,653,628,-,-,-,1424,1043,381,200,126,74,-,-,-,-,-,-,200,126,74,180,157,23,-,-,-,-,-,-,180,157,23,1724,1073,651,749,341,408,-,-,-,975,732,243,580,324,256,511,296,215,-,-,-,69,28,41,21,16,5,21,16,5,-,-,-,-,-,-
98學年,雲林縣,7020,4319,2701,5243,3594,1649,-,-,-,1777,725,1052,-,-,-,-,-,-,-,-,-,-,-,-,408,178,230,-,-,-,-,-,-,408,178,230,5015,3010,2005,3673,2478,1195,-,-,-,1342,532,810,1536,1081,455,1509,1066,443,-,-,-,27,15,12,61,50,11,61,50,11,-,-,-,-,-,-
98學年,嘉義縣,6789,3900,2889,3100,1784,1316,-,-,-,3689,2116,1573,44,37,7,-,-,-,-,-,-,44,37,7,319,205,114,-,-,-,-,-,-,319,205,114,4443,2438,2005,1496,755,741,-,-,-,2947,1683,1264,1878,1135,743,1502,947,555,-,-,-,376,188,188,105,85,20,102,82,20,-,-,-,3,3,-
98學年,臺南縣,24337,10845,13492,318,89,229,-,-,-,24019,10756,13263,1168,184,984,-,-,-,-,-,-,1168,184,984,478,199,279,-,-,-,-,-,-,478,199,279,20901,9397,11504,162,32,130,-,-,-,20739,9365,11374,1782,1058,724,155,56,99,-,-,-,1627,1002,625,8,7,1,1,1,-,-,-,-,7,6,1
98學年,高雄縣,19574,9870,9704,1864,1035,829,-,-,-,17710,8835,8875,2423,664,1759,-,-,-,-,-,-,2423,664,1759,1036,599,437,-,-,-,-,-,-,1036,599,437,14143,7237,6906,1113,544,569,-,-,-,13030,6693,6337,1924,1336,588,726,474,252,-,-,-,1198,862,336,48,34,14,25,17,8,-,-,-,23,17,6
98學年,屏東縣,11364,4903,6461,4579,2023,2556,-,-,-,6785,2880,3905,1168,247,921,1,-,1,-,-,-,1167,247,920,732,351,381,-,-,-,-,-,-,732,351,381,8096,3586,4510,3339,1371,1968,-,-,-,4757,2215,2542,1344,700,644,1215,633,582,-,-,-,129,67,62,24,19,5,24,19,5,-,-,-,-,-,-
98學年,臺東縣,1277,548,729,1277,548,729,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,208,114,94,208,114,94,-,-,-,-,-,-,631,272,359,631,272,359,-,-,-,-,-,-,435,161,274,435,161,274,-,-,-,-,-,-,3,1,2,3,1,2,-,-,-,-,-,-
98學年,花蓮縣,5060,2442,2618,2431,1163,1268,-,-,-,2629,1279,1350,205,15,190,-,-,-,-,-,-,205,15,190,222,140,82,-,-,-,-,-,-,222,140,82,3550,1712,1838,1491,651,840,-,-,-,2059,1061,998,1040,541,499,908,485,423,-,-,-,132,56,76,43,34,9,32,27,5,-,-,-,11,7,4
98學年,澎湖縣,704,364,340,704,364,340,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,7,4,11,7,4,-,-,-,-,-,-,662,342,320,662,342,320,-,-,-,-,-,-,31,15,16,31,15,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,基隆市,3785,1952,1833,2239,1565,674,-,-,-,1546,387,1159,261,44,217,-,-,-,-,-,-,261,44,217,72,34,38,-,-,-,-,-,-,72,34,38,2497,1195,1302,1308,894,414,-,-,-,1189,301,888,917,645,272,893,637,256,-,-,-,24,8,16,38,34,4,38,34,4,-,-,-,-,-,-
98學年,新竹市,13065,7603,5462,7565,4938,2627,-,-,-,5500,2665,2835,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7509,3859,3650,2965,1782,1183,-,-,-,4544,2077,2467,4948,3250,1698,4008,2674,1334,-,-,-,940,576,364,608,494,114,592,482,110,-,-,-,16,12,4
98學年,臺中市,27631,12130,15501,9095,3855,5240,-,-,-,18536,8275,10261,937,178,759,584,80,504,-,-,-,353,98,255,460,123,337,332,54,278,-,-,-,128,69,59,20878,8735,12143,5533,2206,3327,-,-,-,15345,6529,8816,5062,2880,2182,2461,1371,1090,-,-,-,2601,1509,1092,294,214,80,185,144,41,-,-,-,109,70,39
98學年,嘉義市,4061,1803,2258,2922,1425,1497,-,-,-,1139,378,761,331,8,323,-,-,-,-,-,-,331,8,323,169,100,69,-,-,-,-,-,-,169,100,69,2731,1287,1444,2092,1017,1075,-,-,-,639,270,369,814,399,415,814,399,415,-,-,-,-,-,-,16,9,7,16,9,7,-,-,-,-,-,-
98學年,臺南市,9366,5518,3848,7485,4380,3105,-,-,-,1881,1138,743,194,-,194,194,-,194,-,-,-,-,-,-,83,1,82,83,1,82,-,-,-,-,-,-,5026,2884,2142,3304,1856,1448,-,-,-,1722,1028,694,3672,2312,1360,3513,2202,1311,-,-,-,159,110,49,391,321,70,391,321,70,-,-,-,-,-,-
98學年,金門縣,484,276,208,484,276,208,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,466,266,200,466,266,200,-,-,-,-,-,-,18,10,8,18,10,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,317162,157186,159976,102070,55956,46114,1528,547,981,213564,100683,112881,13090,3445,9645,1280,188,1092,-,-,-,11810,3257,8553,14924,7561,7363,1758,700,1058,-,-,-,13166,6861,6305,227885,108806,119079,59119,30250,28869,841,307,534,167925,78249,89676,57674,34742,22932,36895,22584,14311,682,237,445,20097,11921,8176,3589,2632,957,3018,2234,784,5,3,2,566,395,171
97學年,臺北市,61295,28165,33130,26289,13638,12651,1528,547,981,33478,13980,19498,1277,341,936,381,47,334,-,-,-,896,294,602,2611,1048,1563,446,89,357,-,-,-,2165,959,1206,40569,17284,23285,13026,6191,6835,841,307,534,26702,10786,15916,15595,8646,6949,11311,6539,4772,682,237,445,3602,1870,1732,1243,846,397,1125,772,353,5,3,2,113,71,42
97學年,高雄市,15562,7666,7896,11887,6744,5143,-,-,-,3675,922,2753,795,97,698,86,63,23,-,-,-,709,34,675,149,36,113,149,36,113,-,-,-,-,-,-,10237,4922,5315,7653,4190,3463,-,-,-,2584,732,1852,4132,2445,1687,3795,2312,1483,-,-,-,337,133,204,249,166,83,204,143,61,-,-,-,45,23,22
97學年,臺北縣,36395,18037,18358,3471,1358,2113,-,-,-,32924,16679,16245,1907,917,990,-,-,-,-,-,-,1907,917,990,2566,1413,1153,-,-,-,-,-,-,2566,1413,1153,28081,13499,14582,2733,972,1761,-,-,-,25348,12527,12821,3710,2122,1588,712,369,343,-,-,-,2998,1753,1245,131,86,45,26,17,9,-,-,-,105,69,36
97學年,宜蘭縣,3030,1865,1165,1128,762,366,-,-,-,1902,1103,799,121,67,54,-,-,-,-,-,-,121,67,54,474,238,236,-,-,-,-,-,-,474,238,236,1941,1265,676,972,652,320,-,-,-,969,613,356,489,293,196,156,110,46,-,-,-,333,183,150,5,2,3,-,-,-,-,-,-,5,2,3
97學年,桃園縣,26167,14042,12125,3635,2410,1225,-,-,-,22532,11632,10900,801,-,801,-,-,-,-,-,-,801,-,801,484,126,358,-,-,-,-,-,-,484,126,358,19551,10328,9223,1594,993,601,-,-,-,17957,9335,8622,5021,3347,1674,1843,1263,580,-,-,-,3178,2084,1094,310,241,69,198,154,44,-,-,-,112,87,25
97學年,新竹縣,5343,3244,2099,-,-,-,-,-,-,5343,3244,2099,254,141,113,-,-,-,-,-,-,254,141,113,77,45,32,-,-,-,-,-,-,77,45,32,4815,2904,1911,-,-,-,-,-,-,4815,2904,1911,197,154,43,-,-,-,-,-,-,197,154,43,-,-,-,-,-,-,-,-,-,-,-,-
97學年,苗栗縣,5668,2780,2888,1581,1147,434,-,-,-,4087,1633,2454,885,232,653,-,-,-,-,-,-,885,232,653,958,527,431,1,1,-,-,-,-,957,526,431,3674,1921,1753,1486,1083,403,-,-,-,2188,838,1350,151,100,51,94,63,31,-,-,-,57,37,20,-,-,-,-,-,-,-,-,-,-,-,-
97學年,臺中縣,15847,7240,8607,2431,1798,633,-,-,-,13416,5442,7974,387,13,374,-,-,-,-,-,-,387,13,374,827,699,128,478,410,68,-,-,-,349,289,60,12942,5539,7403,1735,1205,530,-,-,-,11207,4334,6873,1681,981,700,218,183,35,-,-,-,1463,798,665,10,8,2,-,-,-,-,-,-,10,8,2
97學年,彰化縣,9322,5515,3807,2003,1032,971,-,-,-,7319,4483,2836,6,6,-,-,-,-,-,-,-,6,6,-,612,354,258,-,-,-,-,-,-,612,354,258,6660,3961,2699,982,499,483,-,-,-,5678,3462,2216,1990,1164,826,977,511,466,-,-,-,1013,653,360,54,30,24,44,22,22,-,-,-,10,8,2
97學年,南投縣,2991,2062,929,1229,661,568,-,-,-,1762,1401,361,246,187,59,-,-,-,-,-,-,246,187,59,354,320,34,-,-,-,-,-,-,354,320,34,1814,1182,632,713,322,391,-,-,-,1101,860,241,561,361,200,500,327,173,-,-,-,61,34,27,16,12,4,16,12,4,-,-,-,-,-,-
97學年,雲林縣,6804,4217,2587,5007,3504,1503,-,-,-,1797,713,1084,6,6,-,6,6,-,-,-,-,-,-,-,434,165,269,-,-,-,-,-,-,434,165,269,5054,3121,1933,3716,2587,1129,-,-,-,1338,534,804,1271,901,370,1246,887,359,-,-,-,25,14,11,39,24,15,39,24,15,-,-,-,-,-,-
97學年,嘉義縣,6949,4042,2907,2940,1679,1261,-,-,-,4009,2363,1646,63,46,17,-,-,-,-,-,-,63,46,17,385,272,113,-,-,-,-,-,-,385,272,113,4518,2528,1990,1464,754,710,-,-,-,3054,1774,1280,1874,1118,756,1367,847,520,-,-,-,507,271,236,109,78,31,109,78,31,-,-,-,-,-,-
97學年,臺南縣,23934,10563,13371,295,85,210,-,-,-,23639,10478,13161,1091,165,926,-,-,-,-,-,-,1091,165,926,673,300,373,-,-,-,-,-,-,673,300,373,20646,9180,11466,155,35,120,-,-,-,20491,9145,11346,1518,912,606,139,49,90,-,-,-,1379,863,516,6,6,-,1,1,-,-,-,-,5,5,-
97學年,高雄縣,20099,10076,10023,1895,994,901,-,-,-,18204,9082,9122,2484,697,1787,-,-,-,-,-,-,2484,697,1787,1378,757,621,-,-,-,-,-,-,1378,757,621,14408,7362,7046,1187,522,665,-,-,-,13221,6840,6381,1787,1231,556,681,454,227,-,-,-,1106,777,329,42,29,13,27,18,9,-,-,-,15,11,4
97學年,屏東縣,11979,5109,6870,4737,2004,2733,-,-,-,7242,3105,4137,1053,272,781,-,-,-,-,-,-,1053,272,781,1181,608,573,-,-,-,-,-,-,1181,608,573,8370,3482,4888,3452,1293,2159,-,-,-,4918,2189,2729,1358,734,624,1268,698,570,-,-,-,90,36,54,17,13,4,17,13,4,-,-,-,-,-,-
97學年,臺東縣,1024,467,557,1024,467,557,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,132,85,47,132,85,47,-,-,-,-,-,-,643,270,373,643,270,373,-,-,-,-,-,-,248,112,136,248,112,136,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-
97學年,花蓮縣,5057,2435,2622,2491,1225,1266,-,-,-,2566,1210,1356,159,-,159,-,-,-,-,-,-,159,-,159,403,230,173,-,-,-,-,-,-,403,230,173,3356,1553,1803,1499,641,858,-,-,-,1857,912,945,1107,634,473,964,569,395,-,-,-,143,65,78,32,18,14,28,15,13,-,-,-,4,3,1
97學年,澎湖縣,697,343,354,697,343,354,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,12,9,21,12,9,-,-,-,-,-,-,652,322,330,652,322,330,-,-,-,-,-,-,24,9,15,24,9,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,基隆市,3922,1853,2069,2203,1492,711,-,-,-,1719,361,1358,276,44,232,-,-,-,-,-,-,276,44,232,336,119,217,-,-,-,-,-,-,336,119,217,2414,1071,1343,1314,874,440,-,-,-,1100,197,903,864,591,273,857,590,267,-,-,-,7,1,6,32,28,4,32,28,4,-,-,-,-,-,-
97學年,新竹市,13407,7770,5637,7811,5050,2761,-,-,-,5596,2720,2876,1,1,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,1,1,-,7979,3998,3981,3234,1816,1418,-,-,-,4745,2182,2563,4823,3256,1567,4002,2739,1263,-,-,-,821,517,304,603,514,89,575,495,80,-,-,-,28,19,9
97學年,臺中市,28699,12417,16282,8893,3718,5175,-,-,-,19806,8699,11107,1061,202,859,613,72,541,-,-,-,448,130,318,652,152,500,453,67,386,-,-,-,199,85,114,21943,9021,12922,5443,2157,3286,-,-,-,16500,6864,9636,4744,2812,1932,2199,1281,918,-,-,-,2545,1531,1014,299,230,69,185,141,44,-,-,-,114,89,25
97學年,嘉義市,3496,1631,1865,2845,1365,1480,-,-,-,651,266,385,23,11,12,-,-,-,-,-,-,23,11,12,138,54,84,-,-,-,-,-,-,138,54,84,2451,1139,1312,1961,938,1023,-,-,-,490,201,289,878,423,455,878,423,455,-,-,-,-,-,-,6,4,2,6,4,2,-,-,-,-,-,-
97學年,臺南市,9031,5403,3628,7134,4236,2898,-,-,-,1897,1167,730,194,-,194,194,-,194,-,-,-,-,-,-,78,-,78,78,-,78,-,-,-,-,-,-,4737,2717,2020,3075,1697,1378,-,-,-,1662,1020,642,3637,2389,1248,3402,2242,1160,-,-,-,235,147,88,385,297,88,385,297,88,-,-,-,-,-,-
97學年,金門縣,444,244,200,444,244,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,430,237,193,430,237,193,-,-,-,-,-,-,14,7,7,14,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96學年,總計,323540,161169,162371,100634,55624,45010,1319,432,887,221587,105113,116474,14914,4387,10527,1505,321,1184,-,-,-,13409,4066,9343,20901,10600,10301,2092,909,1183,-,-,-,18809,9691,9118,230198,110319,119879,59340,30550,28790,757,248,509,170101,79521,90580,54387,33569,20818,35055,21886,13169,559,181,378,18773,11502,7271,3140,2294,846,2642,1958,684,3,3,-,495,333,162
96學年,臺北市,61468,28521,32947,25778,13533,12245,1319,432,887,34371,14556,19815,1912,596,1316,418,81,337,-,-,-,1494,515,979,3438,1420,2018,484,94,390,-,-,-,2954,1326,1628,40572,17521,23051,13401,6436,6965,757,248,509,26414,10837,15577,14463,8255,6208,10519,6266,4253,559,181,378,3385,1808,1577,1083,729,354,956,656,300,3,3,-,124,70,54
96學年,高雄市,15404,7562,7842,11696,6579,5117,-,-,-,3708,983,2725,839,165,674,147,107,40,-,-,-,692,58,634,244,59,185,227,58,169,-,-,-,17,1,16,10317,4931,5386,7696,4187,3509,-,-,-,2621,744,1877,3778,2252,1526,3430,2088,1342,-,-,-,348,164,184,226,155,71,196,139,57,-,-,-,30,16,14
96學年,臺北縣,37512,18742,18770,3562,1402,2160,-,-,-,33950,17340,16610,1989,1013,976,-,-,-,-,-,-,1989,1013,976,3433,1746,1687,-,-,-,-,-,-,3433,1746,1687,28417,13852,14565,2785,997,1788,-,-,-,25632,12855,12777,3556,2053,1503,757,393,364,-,-,-,2799,1660,1139,117,78,39,20,12,8,-,-,-,97,66,31
96學年,宜蘭縣,3268,2117,1151,1191,842,349,-,-,-,2077,1275,802,199,144,55,9,8,1,-,-,-,190,136,54,640,334,306,-,-,-,-,-,-,640,334,306,2005,1386,619,1050,743,307,-,-,-,955,643,312,420,251,169,132,91,41,-,-,-,288,160,128,4,2,2,-,-,-,-,-,-,4,2,2
96學年,桃園縣,25284,13764,11520,3585,2410,1175,-,-,-,21699,11354,10345,876,-,876,-,-,-,-,-,-,876,-,876,369,22,347,-,-,-,-,-,-,369,22,347,19099,10341,8758,1652,1046,606,-,-,-,17447,9295,8152,4701,3216,1485,1791,1252,539,-,-,-,2910,1964,946,239,185,54,142,112,30,-,-,-,97,73,24
96學年,新竹縣,5703,3558,2145,-,-,-,-,-,-,5703,3558,2145,322,172,150,-,-,-,-,-,-,322,172,150,106,63,43,-,-,-,-,-,-,106,63,43,5111,3191,1920,-,-,-,-,-,-,5111,3191,1920,164,132,32,-,-,-,-,-,-,164,132,32,-,-,-,-,-,-,-,-,-,-,-,-
96學年,苗栗縣,5866,2969,2897,1586,1118,468,-,-,-,4280,1851,2429,842,252,590,-,-,-,-,-,-,842,252,590,1403,832,571,-,-,-,-,-,-,1403,832,571,3531,1817,1714,1523,1070,453,-,-,-,2008,747,1261,90,68,22,63,48,15,-,-,-,27,20,7,-,-,-,-,-,-,-,-,-,-,-,-
96學年,臺中縣,16115,7640,8475,2526,1860,666,-,-,-,13589,5780,7809,532,132,400,-,-,-,-,-,-,532,132,400,1365,1094,271,737,620,117,-,-,-,628,474,154,12611,5461,7150,1647,1121,526,-,-,-,10964,4340,6624,1607,953,654,142,119,23,-,-,-,1465,834,631,-,-,-,-,-,-,-,-,-,-,-,-
96學年,彰化縣,9951,5970,3981,2068,1037,1031,-,-,-,7883,4933,2950,86,72,14,-,-,-,-,-,-,86,72,14,801,497,304,-,-,-,-,-,-,801,497,304,6934,4118,2816,1014,499,515,-,-,-,5920,3619,2301,2064,1242,822,999,505,494,-,-,-,1065,737,328,66,41,25,55,33,22,-,-,-,11,8,3
96學年,南投縣,3111,2111,1000,1178,633,545,-,-,-,1933,1478,455,313,225,88,-,-,-,-,-,-,313,225,88,619,495,124,-,-,-,-,-,-,619,495,124,1666,1048,618,670,295,375,-,-,-,996,753,243,492,329,163,487,324,163,-,-,-,5,5,-,21,14,7,21,14,7,-,-,-,-,-,-
96學年,雲林縣,7478,4625,2853,5445,3731,1714,-,-,-,2033,894,1139,120,44,76,120,44,76,-,-,-,-,-,-,764,314,450,-,-,-,-,-,-,764,314,450,5369,3392,1977,4113,2819,1294,-,-,-,1256,573,683,1170,836,334,1157,829,328,-,-,-,13,7,6,55,39,16,55,39,16,-,-,-,-,-,-
96學年,嘉義縣,7100,4242,2858,2992,1808,1184,-,-,-,4108,2434,1674,64,46,18,-,-,-,-,-,-,64,46,18,502,390,112,-,-,-,-,-,-,502,390,112,4585,2555,2030,1521,804,717,-,-,-,3064,1751,1313,1859,1181,678,1384,937,447,-,-,-,475,244,231,90,70,20,87,67,20,-,-,-,3,3,-
96學年,臺南縣,25475,11167,14308,268,71,197,-,-,-,25207,11096,14111,1224,232,992,-,-,-,-,-,-,1224,232,992,1011,545,466,-,-,-,-,-,-,1011,545,466,21886,9534,12352,126,25,101,-,-,-,21760,9509,12251,1349,854,495,142,46,96,-,-,-,1207,808,399,5,2,3,-,-,-,-,-,-,5,2,3
