學年別,縣市別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,五專計小計,五專計男,五專計女,五專國立小計,五專國立男,五專國立女,五專直轄市立小計,五專直轄市立男,五專直轄市立女,五專私立小計,五專私立男,五專私立女,二專計小計,二專計男,二專計女,二專國立小計,二專國立男,二專國立女,二專直轄市立小計,二專直轄市立男,二專直轄市立女,二專私立小計,二專私立男,二專私立女,學士班計小計,學士班計男,學士班計女,學士班國立小計,學士班國立男,學士班國立女,學士班直轄市立小計,學士班直轄市立男,學士班直轄市立女,學士班私立小計,學士班私立男,學士班私立女,碩士班計小計,碩士班計男,碩士班計女,碩士班國立小計,碩士班國立男,碩士班國立女,碩士班直轄市立小計,碩士班直轄市立男,碩士班直轄市立女,碩士班私立小計,碩士班私立男,碩士班私立女,博士班計小計,博士班計男,博士班計女,博士班國立小計,博士班國立男,博士班國立女,博士班直轄市立小計,博士班直轄市立男,博士班直轄市立女,博士班私立小計,博士班私立男,博士班私立女
100學年,宜蘭縣,16286,8593,7693,5485,3758,1727,-,-,-,10801,4835,5966,4752,1505,3247,-,-,-,-,-,-,4752,1505,3247,235,138,97,-,-,-,-,-,-,235,138,97,9512,5868,3644,4806,3277,1529,-,-,-,4706,2591,2115,1753,1063,690,670,475,195,-,-,-,1083,588,495,34,19,15,9,6,3,-,-,-,25,13,12
100學年,桃園縣,112839,61591,51248,14620,9775,4845,-,-,-,98219,51816,46403,7715,425,7290,-,-,-,-,-,-,7715,425,7290,302,169,133,-,-,-,-,-,-,302,169,133,86687,48930,37757,7690,4984,2706,-,-,-,78997,43946,35051,15278,9866,5412,5346,3549,1797,-,-,-,9932,6317,3615,2857,2201,656,1584,1242,342,-,-,-,1273,959,314
100學年,新竹縣,19090,11294,7796,-,-,-,-,-,-,19090,11294,7796,1371,772,599,-,-,-,-,-,-,1371,772,599,217,34,183,-,-,-,-,-,-,217,34,183,16779,9915,6864,-,-,-,-,-,-,16779,9915,6864,723,573,150,-,-,-,-,-,-,723,573,150,-,-,-,-,-,-,-,-,-,-,-,-
100學年,苗栗縣,24890,12560,12330,8185,5746,2439,-,-,-,16705,6814,9891,5280,1233,4047,-,-,-,-,-,-,5280,1233,4047,879,382,497,1,1,-,-,-,-,878,381,497,18082,10538,7544,7760,5448,2312,-,-,-,10322,5090,5232,643,403,240,418,293,125,-,-,-,225,110,115,6,4,2,6,4,2,-,-,-,-,-,-
100學年,彰化縣,39314,22880,16434,8418,4240,4178,-,-,-,30896,18640,12256,-,-,-,-,-,-,-,-,-,-,-,-,238,170,68,-,-,-,-,-,-,238,170,68,32681,19243,13438,4697,2385,2312,-,-,-,27984,16858,11126,5807,3098,2709,3275,1591,1684,-,-,-,2532,1507,1025,588,369,219,446,264,182,-,-,-,142,105,37
100學年,南投縣,12246,7521,4725,5871,2956,2915,-,-,-,6375,4565,1810,1350,1007,343,-,-,-,-,-,-,1350,1007,343,26,25,1,-,-,-,-,-,-,26,25,1,8702,5252,3450,3949,1848,2101,-,-,-,4753,3404,1349,1858,1046,812,1612,917,695,-,-,-,246,129,117,310,191,119,310,191,119,-,-,-,-,-,-
100學年,雲林縣,26377,16475,9902,20196,13453,6743,-,-,-,6181,3022,3159,-,-,-,-,-,-,-,-,-,-,-,-,669,379,290,-,-,-,-,-,-,669,379,290,20712,12669,8043,15328,10100,5228,-,-,-,5384,2569,2815,4443,3030,1413,4315,2956,1359,-,-,-,128,74,54,553,397,156,553,397,156,-,-,-,-,-,-
100學年,嘉義縣,25225,14560,10665,12141,6813,5328,-,-,-,13084,7747,5337,21,20,1,-,-,-,-,-,-,21,20,1,281,193,88,-,-,-,-,-,-,281,193,88,17779,10249,7530,6640,3539,3101,-,-,-,11139,6710,4429,6333,3534,2799,4711,2724,1987,-,-,-,1622,810,812,811,564,247,790,550,240,-,-,-,21,14,7
100學年,屏東縣,45923,19474,26449,20126,9195,10931,-,-,-,25797,10279,15518,7976,1916,6060,-,-,-,-,-,-,7976,1916,6060,906,418,488,-,-,-,-,-,-,906,418,488,32174,14594,17580,15642,6849,8793,-,-,-,16532,7745,8787,4609,2378,2231,4226,2178,2048,-,-,-,383,200,183,258,168,90,258,168,90,-,-,-,-,-,-
100學年,臺東縣,5931,2991,2940,5931,2991,2940,-,-,-,-,-,-,330,176,154,330,176,154,-,-,-,-,-,-,671,426,245,671,426,245,-,-,-,-,-,-,3611,1866,1745,3611,1866,1745,-,-,-,-,-,-,1272,505,767,1272,505,767,-,-,-,-,-,-,47,18,29,47,18,29,-,-,-,-,-,-
100學年,花蓮縣,21746,10638,11108,10392,5352,5040,-,-,-,11354,5286,6068,1334,196,1138,-,-,-,-,-,-,1334,196,1138,443,226,217,-,-,-,-,-,-,443,226,217,15889,8025,7864,6913,3412,3501,-,-,-,8976,4613,4363,3599,1885,1714,3119,1698,1421,-,-,-,480,187,293,481,306,175,360,242,118,-,-,-,121,64,57
100學年,澎湖縣,3105,1610,1495,3105,1610,1495,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,18,8,26,18,8,-,-,-,-,-,-,2959,1514,1445,2959,1514,1445,-,-,-,-,-,-,120,78,42,120,78,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,基隆市,16215,8516,7699,8392,5829,2563,-,-,-,7823,2687,5136,2495,739,1756,-,-,-,-,-,-,2495,739,1756,7,3,4,-,-,-,-,-,-,7,3,4,11054,5947,5107,5797,4018,1779,-,-,-,5257,1929,3328,2297,1538,759,2233,1522,711,-,-,-,64,16,48,362,289,73,362,289,73,-,-,-,-,-,-
100學年,新竹市,54030,32647,21383,31277,20447,10830,-,-,-,22753,12200,10553,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34688,19490,15198,14328,8753,5575,-,-,-,20360,10737,9623,14588,9351,5237,12382,8020,4362,-,-,-,2206,1331,875,4754,3806,948,4567,3674,893,-,-,-,187,132,55
100學年,嘉義市,19558,8618,10940,13130,6652,6478,-,-,-,6428,1966,4462,2975,375,2600,-,-,-,-,-,-,2975,375,2600,180,79,101,-,-,-,-,-,-,180,79,101,13325,6736,6589,10052,5224,4828,-,-,-,3273,1512,1761,2886,1322,1564,2886,1322,1564,-,-,-,-,-,-,192,106,86,192,106,86,-,-,-,-,-,-
100學年,金門縣,3208,1728,1480,3208,1728,1480,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3018,1621,1397,3018,1621,1397,-,-,-,-,-,-,190,107,83,190,107,83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,1343603,681054,662549,429037,235565,193472,7179,2962,4217,907387,442527,464860,86971,21975,64996,8267,1766,6501,-,-,-,78704,20209,58495,15818,7580,8238,2864,1160,1704,-,-,-,12954,6420,6534,1021636,522307,499329,272242,145925,126317,4648,2064,2584,744746,374318,370428,185000,104894,80106,117648,66514,51134,2333,801,1532,65019,37579,27440,34178,24298,9880,28016,20200,7816,198,97,101,5964,4001,1963
99學年,臺北市,265286,126211,139075,109755,56209,53546,7179,2962,4217,148352,67040,81312,9715,2844,6871,2143,467,1676,-,-,-,7572,2377,5195,3447,1271,2176,704,185,519,-,-,-,2743,1086,1657,190191,88177,102014,61144,29992,31152,4648,2064,2584,124399,56121,68278,49995,25995,24000,35230,18483,16747,2333,801,1532,12432,6711,5721,11938,7924,4014,10534,7082,3452,198,97,101,1206,745,461
99學年,高雄市,65044,31518,33526,46809,26542,20267,-,-,-,18235,4976,13259,4661,865,3796,740,485,255,-,-,-,3921,380,3541,221,108,113,221,108,113,-,-,-,-,-,-,45446,22193,23253,32532,18187,14345,-,-,-,12914,4006,8908,12583,6946,5637,11521,6542,4979,-,-,-,1062,404,658,2133,1406,727,1795,1220,575,-,-,-,338,186,152
99學年,臺北縣,157162,78956,78206,14844,5662,9182,-,-,-,142318,73294,69024,9714,4098,5616,-,-,-,-,-,-,9714,4098,5616,2626,1197,1429,-,-,-,-,-,-,2626,1197,1429,130248,65660,64588,11675,4232,7443,-,-,-,118573,61428,57145,13319,7215,6104,2969,1312,1657,-,-,-,10350,5903,4447,1255,786,469,200,118,82,-,-,-,1055,668,387
99學年,宜蘭縣,16231,8744,7487,5411,3768,1643,-,-,-,10820,4976,5844,4478,1459,3019,-,-,-,-,-,-,4478,1459,3019,416,224,192,-,-,-,-,-,-,416,224,192,9673,6085,3588,4821,3358,1463,-,-,-,4852,2727,2125,1638,961,677,584,407,177,-,-,-,1054,554,500,26,15,11,6,3,3,-,-,-,20,12,8
99學年,桃園縣,111439,61019,50420,14610,9754,4856,-,-,-,96829,51265,45564,7424,316,7108,-,-,-,-,-,-,7424,316,7108,423,153,270,-,-,-,-,-,-,423,153,270,85238,48258,36980,7632,4884,2748,-,-,-,77606,43374,34232,15454,10023,5431,5364,3582,1782,-,-,-,10090,6441,3649,2900,2269,631,1614,1288,326,-,-,-,1286,981,305
99學年,新竹縣,19230,11375,7855,-,-,-,-,-,-,19230,11375,7855,1395,780,615,-,-,-,-,-,-,1395,780,615,169,41,128,-,-,-,-,-,-,169,41,128,16961,10002,6959,-,-,-,-,-,-,16961,10002,6959,705,552,153,-,-,-,-,-,-,705,552,153,-,-,-,-,-,-,-,-,-,-,-,-
99學年,苗栗縣,25127,12810,12317,8129,5756,2373,-,-,-,16998,7054,9944,5115,1300,3815,-,-,-,-,-,-,5115,1300,3815,996,520,476,-,-,-,-,-,-,996,520,476,18405,10602,7803,7728,5485,2243,-,-,-,10677,5117,5560,604,383,221,394,266,128,-,-,-,210,117,93,7,5,2,7,5,2,-,-,-,-,-,-
99學年,臺中縣,69720,33742,35978,10407,7528,2879,-,-,-,59313,26214,33099,1084,47,1037,-,-,-,-,-,-,1084,47,1037,612,503,109,389,316,73,-,-,-,223,187,36,62446,29988,32458,9217,6570,2647,-,-,-,53229,23418,29811,5408,3088,2320,801,642,159,-,-,-,4607,2446,2161,170,116,54,-,-,-,-,-,-,170,116,54
99學年,彰化縣,38477,22625,15852,8438,4207,4231,-,-,-,30039,18418,11621,-,-,-,-,-,-,-,-,-,-,-,-,325,218,107,-,-,-,-,-,-,325,218,107,31581,18789,12792,4607,2313,2294,-,-,-,26974,16476,10498,5996,3262,2734,3395,1642,1753,-,-,-,2601,1620,981,575,356,219,436,252,184,-,-,-,139,104,35
99學年,南投縣,12360,7636,4724,5819,2879,2940,-,-,-,6541,4757,1784,1378,1012,366,-,-,-,-,-,-,1378,1012,366,80,73,7,-,-,-,-,-,-,80,73,7,8773,5360,3413,3910,1814,2096,-,-,-,4863,3546,1317,1831,1003,828,1611,877,734,-,-,-,220,126,94,298,188,110,298,188,110,-,-,-,-,-,-
99學年,雲林縣,26480,16480,10000,20227,13537,6690,-,-,-,6253,2943,3310,-,-,-,-,-,-,-,-,-,-,-,-,818,399,419,-,-,-,-,-,-,818,399,419,20645,12624,8021,15334,10147,5187,-,-,-,5311,2477,2834,4433,3035,1398,4309,2968,1341,-,-,-,124,67,57,584,422,162,584,422,162,-,-,-,-,-,-
99學年,嘉義縣,25339,14743,10596,12154,6843,5311,-,-,-,13185,7900,5285,68,61,7,-,-,-,-,-,-,68,61,7,331,232,99,-,-,-,-,-,-,331,232,99,17661,10262,7399,6560,3498,3062,-,-,-,11101,6764,4337,6377,3561,2816,4717,2734,1983,-,-,-,1660,827,833,902,627,275,877,611,266,-,-,-,25,16,9
99學年,臺南縣,104189,48255,55934,1604,507,1097,-,-,-,102585,47748,54837,8138,1301,6837,165,56,109,-,-,-,7973,1245,6728,514,274,240,-,-,-,-,-,-,514,274,240,89939,43392,46547,766,199,567,-,-,-,89173,43193,45980,5466,3187,2279,644,235,409,-,-,-,4822,2952,1870,132,101,31,29,17,12,-,-,-,103,84,19
99學年,高雄縣,81845,42884,38961,7264,3961,3303,-,-,-,74581,38923,35658,12187,3253,8934,-,-,-,-,-,-,12187,3253,8934,1477,906,571,-,-,-,-,-,-,1477,906,571,62376,34836,27540,4920,2385,2535,-,-,-,57456,32451,25005,5440,3611,1829,2141,1418,723,-,-,-,3299,2193,1106,365,278,87,203,158,45,-,-,-,162,120,42
99學年,屏東縣,46451,20172,26279,20071,9104,10967,-,-,-,26380,11068,15312,7724,1957,5767,-,-,-,-,-,-,7724,1957,5767,967,478,489,-,-,-,-,-,-,967,478,489,32716,15089,17627,15470,6720,8750,-,-,-,17246,8369,8877,4814,2498,2316,4371,2234,2137,-,-,-,443,264,179,230,150,80,230,150,80,-,-,-,-,-,-
99學年,臺東縣,5688,2832,2856,5688,2832,2856,-,-,-,-,-,-,174,89,85,174,89,85,-,-,-,-,-,-,708,451,257,708,451,257,-,-,-,-,-,-,3486,1783,1703,3486,1783,1703,-,-,-,-,-,-,1279,495,784,1279,495,784,-,-,-,-,-,-,41,14,27,41,14,27,-,-,-,-,-,-
99學年,花蓮縣,21883,10681,11202,10506,5335,5171,-,-,-,11377,5346,6031,1379,242,1137,-,-,-,-,-,-,1379,242,1137,339,206,133,-,-,-,-,-,-,339,206,133,15922,7990,7932,6918,3365,3553,-,-,-,9004,4625,4379,3766,1936,1830,3234,1730,1504,-,-,-,532,206,326,477,307,170,354,240,114,-,-,-,123,67,56
99學年,澎湖縣,3117,1615,1502,3117,1615,1502,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,14,10,24,14,10,-,-,-,-,-,-,2976,1525,1451,2976,1525,1451,-,-,-,-,-,-,117,76,41,117,76,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,基隆市,16419,8519,7900,8542,5884,2658,-,-,-,7877,2635,5242,2498,721,1777,-,-,-,-,-,-,2498,721,1777,60,32,28,-,-,-,-,-,-,60,32,28,11153,5914,5239,5896,4045,1851,-,-,-,5257,1869,3388,2327,1551,776,2265,1538,727,-,-,-,62,13,49,381,301,80,381,301,80,-,-,-,-,-,-
99學年,新竹市,54171,33071,21100,31153,20590,10563,-,-,-,23018,12481,10537,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34655,19625,15030,14145,8736,5409,-,-,-,20510,10889,9621,14508,9387,5121,12196,7933,4263,-,-,-,2312,1454,858,5008,4059,949,4812,3921,891,-,-,-,196,138,58
99學年,臺中市,121220,57076,64144,37713,17100,20613,-,-,-,83507,39976,43531,5647,1282,4365,3524,641,2883,-,-,-,2123,641,1482,807,147,660,636,70,566,-,-,-,171,77,94,95823,44632,51191,23739,10632,13107,-,-,-,72084,34000,38084,15929,8846,7083,7941,4352,3589,-,-,-,7988,4494,3494,3014,2169,845,1873,1405,468,-,-,-,1141,764,377
99學年,嘉義市,19261,8513,10748,13084,6633,6451,-,-,-,6177,1880,4297,2671,320,2351,-,-,-,-,-,-,2671,320,2351,276,117,159,-,-,-,-,-,-,276,117,159,13248,6624,6624,10018,5181,4837,-,-,-,3230,1443,1787,2878,1343,1535,2878,1343,1535,-,-,-,-,-,-,188,109,79,188,109,79,-,-,-,-,-,-
99學年,臺南市,34562,19993,14569,30790,17735,13055,-,-,-,3772,2258,1514,1521,28,1493,1521,28,1493,-,-,-,-,-,-,182,16,166,182,16,166,-,-,-,-,-,-,19316,11407,7909,15990,9384,6606,-,-,-,3326,2023,1303,9989,5846,4143,9543,5611,3932,-,-,-,446,235,211,3554,2696,858,3554,2696,858,-,-,-,-,-,-
99學年,金門縣,2902,1584,1318,2902,1584,1318,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2758,1490,1268,2758,1490,1268,-,-,-,-,-,-,144,94,50,144,94,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,1336659,680038,656621,423407,232939,190468,6901,2869,4032,906351,444230,462121,85614,22302,63312,7986,1663,6323,-,-,-,77628,20639,56989,22941,11490,11451,3713,1432,2281,-,-,-,19228,10058,9170,1010952,517021,493931,267928,143644,124284,4494,2016,2478,738530,371361,367169,183401,105084,78317,115911,65989,49922,2230,767,1463,65260,38328,26932,33751,24141,9610,27869,20211,7658,177,86,91,5705,3844,1861
98學年,臺北市,259982,124066,135916,108528,55855,52673,6901,2869,4032,144553,65342,79211,9168,2677,6491,2255,497,1758,-,-,-,6913,2180,4733,4541,1728,2813,1094,278,816,-,-,-,3447,1450,1997,185040,85924,99116,59913,29693,30220,4494,2016,2478,120633,54215,66418,49574,25962,23612,34942,18430,16512,2230,767,1463,12402,6765,5637,11659,7775,3884,10324,6957,3367,177,86,91,1158,732,426
98學年,高雄市,64487,31332,33155,46319,26347,19972,-,-,-,18168,4985,13183,4668,853,3815,675,453,222,-,-,-,3993,400,3593,345,152,193,345,152,193,-,-,-,-,-,-,44813,21974,22839,32039,17968,14071,-,-,-,12774,4006,8768,12519,6925,5594,11434,6515,4919,-,-,-,1085,410,675,2142,1428,714,1826,1259,567,-,-,-,316,169,147
98學年,臺北縣,157727,79420,78307,15034,5810,9224,-,-,-,142693,73610,69083,9672,4471,5201,-,-,-,-,-,-,9672,4471,5201,3952,1923,2029,-,-,-,-,-,-,3952,1923,2029,129390,64903,64487,11904,4305,7599,-,-,-,117486,60598,56888,13487,7354,6133,2941,1394,1547,-,-,-,10546,5960,4586,1226,769,457,189,111,78,-,-,-,1037,658,379
98學年,宜蘭縣,15974,8925,7049,5322,3727,1595,-,-,-,10652,5198,5454,3949,1327,2622,-,-,-,-,-,-,3949,1327,2622,816,464,352,-,-,-,-,-,-,816,464,352,9618,6178,3440,4823,3379,1444,-,-,-,4795,2799,1996,1565,940,625,497,346,151,-,-,-,1068,594,474,26,16,10,2,2,-,-,-,-,24,14,10
98學年,桃園縣,110785,60823,49962,14427,9665,4762,-,-,-,96358,51158,45200,7043,190,6853,-,-,-,-,-,-,7043,190,6853,641,169,472,-,-,-,-,-,-,641,169,472,84841,48091,36750,7496,4799,2697,-,-,-,77345,43292,34053,15326,10065,5261,5253,3525,1728,-,-,-,10073,6540,3533,2934,2308,626,1678,1341,337,-,-,-,1256,967,289
98學年,新竹縣,20191,12062,8129,-,-,-,-,-,-,20191,12062,8129,1426,817,609,-,-,-,-,-,-,1426,817,609,208,62,146,-,-,-,-,-,-,208,62,146,17855,10636,7219,-,-,-,-,-,-,17855,10636,7219,702,547,155,-,-,-,-,-,-,702,547,155,-,-,-,-,-,-,-,-,-,-,-,-
98學年,苗栗縣,25020,12949,12071,7780,5510,2270,-,-,-,17240,7439,9801,4985,1356,3629,-,-,-,-,-,-,4985,1356,3629,1471,922,549,-,-,-,-,-,-,1471,922,549,18041,10346,7695,7438,5290,2148,-,-,-,10603,5056,5547,519,321,198,338,216,122,-,-,-,181,105,76,4,4,-,4,4,-,-,-,-,-,-,-
98學年,臺中縣,68218,32833,35385,10091,7294,2797,-,-,-,58127,25539,32588,1444,58,1386,-,-,-,-,-,-,1444,58,1386,927,737,190,608,456,152,-,-,-,319,281,38,60404,28907,31497,8776,6256,2520,-,-,-,51628,22651,28977,5304,3040,2264,707,582,125,-,-,-,4597,2458,2139,139,91,48,-,-,-,-,-,-,139,91,48
98學年,彰化縣,38417,22696,15721,8380,4121,4259,-,-,-,30037,18575,11462,-,-,-,-,-,-,-,-,-,-,-,-,647,428,219,-,-,-,-,-,-,647,428,219,31003,18443,12560,4473,2206,2267,-,-,-,26530,16237,10293,6201,3484,2717,3478,1676,1802,-,-,-,2723,1808,915,566,341,225,429,239,190,-,-,-,137,102,35
98學年,南投縣,12084,7566,4518,5544,2731,2813,-,-,-,6540,4835,1705,1388,998,390,-,-,-,-,-,-,1388,998,390,294,260,34,-,-,-,-,-,-,294,260,34,8346,5173,3173,3671,1698,1973,-,-,-,4675,3475,1200,1779,954,825,1596,852,744,-,-,-,183,102,81,277,181,96,277,181,96,-,-,-,-,-,-
98學年,雲林縣,26692,16650,10042,20089,13596,6493,-,-,-,6603,3054,3549,-,-,-,-,-,-,-,-,-,-,-,-,1135,543,592,-,-,-,-,-,-,1135,543,592,20687,12720,7967,15339,10285,5054,-,-,-,5348,2435,2913,4275,2958,1317,4155,2882,1273,-,-,-,120,76,44,595,429,166,595,429,166,-,-,-,-,-,-
98學年,嘉義縣,26058,15296,10762,12115,6914,5201,-,-,-,13943,8382,5561,126,111,15,-,-,-,-,-,-,126,111,15,522,351,171,-,-,-,-,-,-,522,351,171,18083,10527,7556,6551,3496,3055,-,-,-,11532,7031,4501,6396,3637,2759,4659,2766,1893,-,-,-,1737,871,866,931,670,261,905,652,253,-,-,-,26,18,8
98學年,臺南縣,103597,47751,55846,1651,518,1133,-,-,-,101946,47233,54713,8283,1346,6937,164,45,119,-,-,-,8119,1301,6818,948,462,486,-,-,-,-,-,-,948,462,486,88633,42565,46068,759,197,562,-,-,-,87874,42368,45506,5606,3282,2324,693,254,439,-,-,-,4913,3028,1885,127,96,31,35,22,13,-,-,-,92,74,18
98學年,高雄縣,81583,42787,38796,7098,3929,3169,-,-,-,74485,38858,35627,12726,3637,9089,-,-,-,-,-,-,12726,3637,9089,2133,1282,851,-,-,-,-,-,-,2133,1282,851,61103,34039,27064,4749,2367,2382,-,-,-,56354,31672,24682,5256,3555,1701,2139,1406,733,-,-,-,3117,2149,968,365,274,91,210,156,54,-,-,-,155,118,37
98學年,屏東縣,47621,21171,26450,19794,8898,10896,-,-,-,27827,12273,15554,7584,1994,5590,2,-,2,-,-,-,7582,1994,5588,1516,772,744,-,-,-,-,-,-,1516,772,744,33748,15919,17829,15426,6646,8780,-,-,-,18322,9273,9049,4560,2339,2221,4153,2105,2048,-,-,-,407,234,173,213,147,66,213,147,66,-,-,-,-,-,-
98學年,臺東縣,5348,2620,2728,5348,2620,2728,-,-,-,-,-,-,50,24,26,50,24,26,-,-,-,-,-,-,638,402,236,638,402,236,-,-,-,-,-,-,3357,1669,1688,3357,1669,1688,-,-,-,-,-,-,1262,508,754,1262,508,754,-,-,-,-,-,-,41,17,24,41,17,24,-,-,-,-,-,-
98學年,花蓮縣,22167,11014,11153,10431,5255,5176,-,-,-,11736,5759,5977,1376,243,1133,-,-,-,-,-,-,1376,243,1133,477,333,144,-,-,-,-,-,-,477,333,144,16102,8198,7904,6860,3294,3566,-,-,-,9242,4904,4338,3725,1918,1807,3204,1705,1499,-,-,-,521,213,308,487,322,165,367,256,111,-,-,-,120,66,54
98學年,澎湖縣,3122,1601,1521,3122,1601,1521,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,16,11,27,16,11,-,-,-,-,-,-,2986,1521,1465,2986,1521,1465,-,-,-,-,-,-,109,64,45,109,64,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,基隆市,16209,8428,7781,8591,5956,2635,-,-,-,7618,2472,5146,2308,643,1665,-,-,-,-,-,-,2308,643,1665,140,74,66,-,-,-,-,-,-,140,74,66,11046,5814,5232,5936,4073,1863,-,-,-,5110,1741,3369,2327,1590,737,2267,1576,691,-,-,-,60,14,46,388,307,81,388,307,81,-,-,-,-,-,-
98學年,新竹市,54026,33009,21017,30596,20315,10281,-,-,-,23430,12694,10736,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34581,19510,15071,13818,8550,5268,-,-,-,20763,10960,9803,14440,9442,4998,11951,7837,4114,-,-,-,2489,1605,884,5005,4057,948,4827,3928,899,-,-,-,178,129,49
98學年,臺中市,120373,56437,63936,37508,16799,20709,-,-,-,82865,39638,43227,5718,1304,4414,3480,631,2849,-,-,-,2238,673,1565,983,204,779,788,116,672,-,-,-,195,88,107,95203,44014,51189,23721,10410,13311,-,-,-,71482,33604,37878,15563,8828,6735,7680,4261,3419,-,-,-,7883,4567,3316,2906,2087,819,1839,1381,458,-,-,-,1067,706,361
98學年,嘉義市,18545,8211,10334,12781,6462,6319,-,-,-,5764,1749,4015,2340,240,2100,-,-,-,-,-,-,2340,240,2100,367,194,173,-,-,-,-,-,-,367,194,173,12882,6361,6521,9825,5046,4779,-,-,-,3057,1315,1742,2793,1325,1468,2793,1325,1468,-,-,-,-,-,-,163,91,72,163,91,72,-,-,-,-,-,-
98學年,臺南市,35920,21008,14912,30345,17633,12712,-,-,-,5575,3375,2200,1360,13,1347,1360,13,1347,-,-,-,-,-,-,213,12,201,213,12,201,-,-,-,-,-,-,20787,12277,8510,15665,9184,6481,-,-,-,5122,3093,2029,10003,5975,4028,9550,5693,3857,-,-,-,453,282,171,3557,2731,826,3557,2731,826,-,-,-,-,-,-
98學年,金門縣,2513,1383,1130,2513,1383,1130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2403,1312,1091,2403,1312,1091,-,-,-,-,-,-,110,71,39,110,71,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,1337455,683114,654341,416089,230349,185740,6647,2741,3906,914719,450024,464695,84787,23124,61663,7855,1568,6287,-,-,-,76932,21556,55376,32866,17451,15415,4299,1720,2579,-,-,-,28567,15731,12836,1006102,513338,492764,262399,140717,121682,4383,1943,2440,739320,370678,368642,180809,105470,75339,114237,66361,47876,2125,730,1395,64447,38379,26068,32891,23731,9160,27299,19983,7316,139,68,71,5453,3680,1773
97學年,臺北市,257966,123248,134718,107721,55908,51813,6647,2741,3906,143598,64599,78999,8798,2599,6199,2325,472,1853,-,-,-,6473,2127,4346,6127,2533,3594,1397,338,1059,-,-,-,4730,2195,2535,181541,83762,97779,58401,29034,29367,4383,1943,2440,118757,52785,65972,50083,26654,23429,35471,19155,16316,2125,730,1395,12487,6769,5718,11417,7700,3717,10127,6909,3218,139,68,71,1151,723,428
97學年,高雄市,63584,31076,32508,45631,26202,19429,-,-,-,17953,4874,13079,4777,829,3948,632,439,193,-,-,-,4145,390,3755,160,44,116,159,44,115,-,-,-,1,-,1,44178,21834,22344,31725,17922,13803,-,-,-,12453,3912,8541,12363,6951,5412,11333,6556,4777,-,-,-,1030,395,635,2106,1418,688,1782,1241,541,-,-,-,324,177,147
97學年,臺北縣,157963,79654,78309,14994,5839,9155,-,-,-,142969,73815,69154,10151,5029,5122,-,-,-,-,-,-,10151,5029,5122,5460,2889,2571,-,-,-,-,-,-,5460,2889,2571,127795,63620,64175,12047,4376,7671,-,-,-,115748,59244,56504,13358,7374,5984,2762,1359,1403,-,-,-,10596,6015,4581,1199,742,457,185,104,81,-,-,-,1014,638,376
