學年別,縣市別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,博士計小計,博士計男,博士計女,博士國立小計,博士國立男,博士國立女,博士直轄市立小計,博士直轄市立男,博士直轄市立女,博士私立小計,博士私立男,博士私立女,碩士計小計,碩士計男,碩士計女,碩士國立小計,碩士國立男,碩士國立女,碩士直轄市立小計,碩士直轄市立男,碩士直轄市立女,碩士私立小計,碩士私立男,碩士私立女,學士計小計,學士計男,學士計女,學士國立小計,學士國立男,學士國立女,學士直轄市立小計,學士直轄市立男,學士直轄市立女,學士私立小計,學士私立男,學士私立女,專科計小計,專科計男,專科計女,專科國立小計,專科國立男,專科國立女,專科直轄市立小計,專科直轄市立男,專科直轄市立女,專科私立小計,專科私立男,專科私立女,其他計小計,其他計男,其他計女,其他國立小計,其他國立男,其他國立女,其他直轄市立小計,其他直轄市立男,其他直轄市立女,其他私立小計,其他私立男,其他私立女
99學年,宜蘭縣,694,463,231,237,178,59,-,-,-,457,285,172,394,314,80,168,139,29,-,-,-,226,175,51,251,127,124,61,35,26,-,-,-,190,92,98,44,19,25,8,4,4,-,-,-,36,15,21,5,3,2,-,-,-,-,-,-,5,3,2,-,-,-,-,-,-,-,-,-,-,-,-
99學年,桃園縣,4210,2803,1407,696,540,156,-,-,-,3514,2263,1251,2879,2137,742,605,492,113,-,-,-,2274,1645,629,1030,467,563,71,40,31,-,-,-,959,427,532,292,191,101,20,8,12,-,-,-,272,183,89,8,7,1,-,-,-,-,-,-,8,7,1,1,1,-,-,-,-,-,-,-,1,1,-
99學年,新竹縣,650,437,213,-,-,-,-,-,-,650,437,213,444,313,131,-,-,-,-,-,-,444,313,131,186,111,75,-,-,-,-,-,-,186,111,75,19,12,7,-,-,-,-,-,-,19,12,7,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,苗栗縣,876,557,319,292,226,66,-,-,-,584,331,253,423,315,108,193,160,33,-,-,-,230,155,75,410,213,197,85,55,30,-,-,-,325,158,167,39,25,14,12,9,3,-,-,-,27,16,11,4,4,-,2,2,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,臺中縣,2118,1298,820,299,223,76,-,-,-,1819,1075,744,1372,940,432,165,135,30,-,-,-,1207,805,402,599,307,292,115,79,36,-,-,-,484,228,256,124,38,86,14,7,7,-,-,-,110,31,79,19,10,9,5,2,3,-,-,-,14,8,6,4,3,1,-,-,-,-,-,-,4,3,1
99學年,彰化縣,1424,1015,409,395,263,132,-,-,-,1029,752,277,1023,774,249,350,242,108,-,-,-,673,532,141,363,212,151,39,19,20,-,-,-,324,193,131,31,24,7,6,2,4,-,-,-,25,22,3,2,2,-,-,-,-,-,-,-,2,2,-,5,3,2,-,-,-,-,-,-,5,3,2
99學年,南投縣,495,363,132,267,181,86,-,-,-,228,182,46,371,274,97,256,175,81,-,-,-,115,99,16,110,78,32,10,5,5,-,-,-,100,73,27,14,11,3,1,1,-,-,-,-,13,10,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,雲林縣,914,718,196,703,589,114,-,-,-,211,129,82,667,555,112,574,496,78,-,-,-,93,59,34,227,151,76,118,87,31,-,-,-,109,64,45,11,7,4,5,3,2,-,-,-,6,4,2,9,5,4,6,3,3,-,-,-,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-
99學年,嘉義縣,1089,778,311,541,401,140,-,-,-,548,377,171,884,646,238,513,384,129,-,-,-,371,262,109,186,113,73,24,13,11,-,-,-,162,100,62,14,14,-,4,4,-,-,-,-,10,10,-,1,1,-,-,-,-,-,-,-,1,1,-,4,4,-,-,-,-,-,-,-,4,4,-
99學年,臺南縣,3431,2128,1303,94,51,43,-,-,-,3337,2077,1260,1872,1332,540,46,21,25,-,-,-,1826,1311,515,1316,642,674,39,22,17,-,-,-,1277,620,657,217,134,83,6,5,1,-,-,-,211,129,82,21,15,6,2,2,-,-,-,-,19,13,6,5,5,-,1,1,-,-,-,-,4,4,-
99學年,高雄縣,2845,1845,1000,254,196,58,-,-,-,2591,1649,942,1670,1247,423,237,187,50,-,-,-,1433,1060,373,983,492,491,15,8,7,-,-,-,968,484,484,172,90,82,2,1,1,-,-,-,170,89,81,14,12,2,-,-,-,-,-,-,14,12,2,6,4,2,-,-,-,-,-,-,6,4,2
99學年,屏東縣,1725,1055,670,747,494,253,-,-,-,978,561,417,998,691,307,609,416,193,-,-,-,389,275,114,608,286,322,116,68,48,-,-,-,492,218,274,101,62,39,19,7,12,-,-,-,82,55,27,16,14,2,2,2,-,-,-,-,14,12,2,2,2,-,1,1,-,-,-,-,1,1,-
99學年,臺東縣,216,142,74,216,142,74,-,-,-,-,-,-,153,102,51,153,102,51,-,-,-,-,-,-,58,36,22,58,36,22,-,-,-,-,-,-,5,4,1,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,花蓮縣,1164,699,465,477,298,179,-,-,-,687,401,286,809,511,298,446,284,162,-,-,-,363,227,136,266,121,145,25,12,13,-,-,-,241,109,132,77,60,17,5,2,3,-,-,-,72,58,14,7,3,4,1,-,1,-,-,-,6,3,3,5,4,1,-,-,-,-,-,-,5,4,1
99學年,澎湖縣,109,80,29,109,80,29,-,-,-,-,-,-,92,70,22,92,70,22,-,-,-,-,-,-,14,7,7,14,7,7,-,-,-,-,-,-,3,3,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,基隆市,685,458,227,416,341,75,-,-,-,269,117,152,465,368,97,362,312,50,-,-,-,103,56,47,181,75,106,31,23,8,-,-,-,150,52,98,33,9,24,23,6,17,-,-,-,10,3,7,4,4,-,-,-,-,-,-,-,4,4,-,2,2,-,-,-,-,-,-,-,2,2,-
99學年,新竹市,2213,1603,610,1491,1134,357,-,-,-,722,469,253,1884,1431,453,1376,1066,310,-,-,-,508,365,143,292,147,145,94,52,42,-,-,-,198,95,103,33,23,10,20,15,5,-,-,-,13,8,5,4,2,2,1,1,-,-,-,-,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-
99學年,臺中市,4530,2991,1539,1465,929,536,-,-,-,3065,2062,1003,3165,2251,914,1089,779,310,-,-,-,2076,1472,604,1098,584,514,299,125,174,-,-,-,799,459,340,251,148,103,76,24,52,-,-,-,175,124,51,16,8,8,1,1,-,-,-,-,15,7,8,-,-,-,-,-,-,-,-,-,-,-,-
99學年,嘉義市,735,442,293,515,356,159,-,-,-,220,86,134,454,317,137,409,291,118,-,-,-,45,26,19,222,106,116,86,56,30,-,-,-,136,50,86,54,15,39,17,7,10,-,-,-,37,8,29,5,4,1,3,2,1,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,臺南市,1808,1300,508,1600,1153,447,-,-,-,208,147,61,1427,1068,359,1286,970,316,-,-,-,141,98,43,222,125,97,164,82,82,-,-,-,58,43,15,158,107,51,149,101,48,-,-,-,9,6,3,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,金門縣,91,70,21,91,70,21,-,-,-,-,-,-,70,55,15,70,55,15,-,-,-,-,-,-,21,15,6,21,15,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,50658,33632,17026,18716,13171,5545,331,181,150,31611,20280,11331,33516,24284,9232,15140,11172,3968,212,104,108,18164,13008,5156,13998,7388,6610,2655,1478,1177,97,63,34,11246,5847,5399,2884,1763,1121,871,484,387,21,13,8,1992,1266,726,205,152,53,44,32,12,1,1,-,160,119,41,55,45,10,6,5,1,-,-,-,49,40,9
98學年,臺北市,10737,7007,3730,5645,3770,1875,331,181,150,4761,3056,1705,7663,5273,2390,4611,3234,1377,212,104,108,2840,1935,905,2427,1332,1095,727,360,367,97,63,34,1603,909,694,608,374,234,296,168,128,21,13,8,291,193,98,27,18,9,8,6,2,1,1,-,18,11,7,12,10,2,3,2,1,-,-,-,9,8,1
98學年,高雄市,2602,1781,821,1768,1305,463,-,-,-,834,476,358,1891,1360,531,1400,1071,329,-,-,-,491,289,202,505,278,227,262,176,86,-,-,-,243,102,141,199,138,61,99,53,46,-,-,-,100,85,15,7,5,2,7,5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,臺北縣,5039,3294,1745,508,308,200,-,-,-,4531,2986,1545,2967,2132,835,334,215,119,-,-,-,2633,1917,716,1781,980,801,131,72,59,-,-,-,1650,908,742,256,155,101,39,19,20,-,-,-,217,136,81,33,25,8,3,1,2,-,-,-,30,24,6,2,2,-,1,1,-,-,-,-,1,1,-
98學年,宜蘭縣,680,478,202,243,184,59,-,-,-,437,294,143,385,316,69,169,142,27,-,-,-,216,174,42,256,140,116,65,37,28,-,-,-,191,103,88,36,20,16,9,5,4,-,-,-,27,15,12,3,2,1,-,-,-,-,-,-,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-
98學年,桃園縣,4147,2777,1370,691,541,150,-,-,-,3456,2236,1220,2758,2079,679,598,492,106,-,-,-,2160,1587,573,1070,484,586,72,41,31,-,-,-,998,443,555,312,208,104,21,8,13,-,-,-,291,200,91,6,5,1,-,-,-,-,-,-,6,5,1,1,1,-,-,-,-,-,-,-,1,1,-
98學年,新竹縣,665,453,212,-,-,-,-,-,-,665,453,212,352,261,91,-,-,-,-,-,-,352,261,91,273,166,107,-,-,-,-,-,-,273,166,107,34,20,14,-,-,-,-,-,-,34,20,14,6,6,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,苗栗縣,907,576,331,296,230,66,-,-,-,611,346,265,410,309,101,189,156,33,-,-,-,221,153,68,452,235,217,88,59,29,-,-,-,364,176,188,42,29,13,17,13,4,-,-,-,25,16,9,2,2,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-
98學年,臺中縣,2131,1322,809,299,223,76,-,-,-,1832,1099,733,1361,946,415,180,143,37,-,-,-,1181,803,378,611,316,295,98,71,27,-,-,-,513,245,268,136,47,89,15,7,8,-,-,-,121,40,81,19,10,9,6,2,4,-,-,-,13,8,5,4,3,1,-,-,-,-,-,-,4,3,1
98學年,彰化縣,1462,1050,412,395,268,127,-,-,-,1067,782,285,1030,791,239,341,241,100,-,-,-,689,550,139,393,230,163,47,24,23,-,-,-,346,206,140,31,23,8,7,3,4,-,-,-,24,20,4,2,2,-,-,-,-,-,-,-,2,2,-,6,4,2,-,-,-,-,-,-,6,4,2
98學年,南投縣,501,371,130,257,174,83,-,-,-,244,197,47,357,265,92,245,168,77,-,-,-,112,97,15,123,89,34,11,5,6,-,-,-,112,84,28,19,15,4,1,1,-,-,-,-,18,14,4,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,雲林縣,911,705,206,694,574,120,-,-,-,217,131,86,632,527,105,544,472,72,-,-,-,88,55,33,255,164,91,135,94,41,-,-,-,120,70,50,20,11,9,14,7,7,-,-,-,6,4,2,3,3,-,1,1,-,-,-,-,2,2,-,1,-,1,-,-,-,-,-,-,1,-,1
98學年,嘉義縣,1079,779,300,510,379,131,-,-,-,569,400,169,877,647,230,490,367,123,-,-,-,387,280,107,186,116,70,19,11,8,-,-,-,167,105,62,11,11,-,1,1,-,-,-,-,10,10,-,3,3,-,-,-,-,-,-,-,3,3,-,2,2,-,-,-,-,-,-,-,2,2,-
98學年,臺南縣,3508,2200,1308,89,47,42,-,-,-,3419,2153,1266,1845,1328,517,40,17,23,-,-,-,1805,1311,494,1389,695,694,39,21,18,-,-,-,1350,674,676,244,152,92,5,4,1,-,-,-,239,148,91,25,20,5,4,4,-,-,-,-,21,16,5,5,5,-,1,1,-,-,-,-,4,4,-
98學年,高雄縣,2897,1879,1018,261,201,60,-,-,-,2636,1678,958,1628,1230,398,241,190,51,-,-,-,1387,1040,347,1060,532,528,17,9,8,-,-,-,1043,523,520,191,103,88,3,2,1,-,-,-,188,101,87,14,12,2,-,-,-,-,-,-,14,12,2,4,2,2,-,-,-,-,-,-,4,2,2
98學年,屏東縣,1801,1103,698,753,502,251,-,-,-,1048,601,447,1006,707,299,605,419,186,-,-,-,401,288,113,679,328,351,116,66,50,-,-,-,563,262,301,94,48,46,26,11,15,-,-,-,68,37,31,18,16,2,5,5,-,-,-,-,13,11,2,4,4,-,1,1,-,-,-,-,3,3,-
98學年,臺東縣,209,139,70,209,139,70,-,-,-,-,-,-,146,99,47,146,99,47,-,-,-,-,-,-,58,36,22,58,36,22,-,-,-,-,-,-,5,4,1,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,花蓮縣,1148,696,452,481,303,178,-,-,-,667,393,274,782,502,280,449,287,162,-,-,-,333,215,118,281,126,155,24,13,11,-,-,-,257,113,144,75,61,14,8,3,5,-,-,-,67,58,9,5,3,2,-,-,-,-,-,-,5,3,2,5,4,1,-,-,-,-,-,-,5,4,1
98學年,澎湖縣,119,87,32,119,87,32,-,-,-,-,-,-,74,60,14,74,60,14,-,-,-,-,-,-,41,23,18,41,23,18,-,-,-,-,-,-,3,3,-,3,3,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,基隆市,661,443,218,407,333,74,-,-,-,254,110,144,433,351,82,350,303,47,-,-,-,83,48,35,187,76,111,33,25,8,-,-,-,154,51,103,36,11,25,24,5,19,-,-,-,12,6,6,1,1,-,-,-,-,-,-,-,1,1,-,4,4,-,-,-,-,-,-,-,4,4,-
98學年,新竹市,2232,1620,612,1488,1129,359,-,-,-,744,491,253,1875,1431,444,1364,1057,307,-,-,-,511,374,137,311,161,150,98,56,42,-,-,-,213,105,108,41,25,16,25,15,10,-,-,-,16,10,6,4,2,2,1,1,-,-,-,-,3,1,2,1,1,-,-,-,-,-,-,-,1,1,-
98學年,臺中市,4596,3053,1543,1453,928,525,-,-,-,3143,2125,1018,3127,2249,878,1058,763,295,-,-,-,2069,1486,583,1166,618,548,305,128,177,-,-,-,861,490,371,283,175,108,89,36,53,-,-,-,194,139,55,18,10,8,1,1,-,-,-,-,17,9,8,2,1,1,-,-,-,-,-,-,2,1,1
98學年,嘉義市,719,429,290,513,349,164,-,-,-,206,80,126,443,309,134,406,286,120,-,-,-,37,23,14,225,107,118,89,57,32,-,-,-,136,50,86,46,9,37,15,4,11,-,-,-,31,5,26,4,3,1,3,2,1,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,1,1,-
98學年,臺南市,1827,1330,497,1557,1137,420,-,-,-,270,193,77,1412,1064,348,1244,942,302,-,-,-,168,122,46,251,144,107,162,82,80,-,-,-,89,62,27,162,121,41,149,112,37,-,-,-,13,9,4,2,1,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,金門縣,80,60,20,80,60,20,-,-,-,-,-,-,62,48,14,62,48,14,-,-,-,-,-,-,18,12,6,18,12,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,51501,33816,17685,19191,13240,5951,376,192,184,31934,20384,11550,32167,23549,8618,14674,10892,3782,183,91,92,17310,12566,4744,15273,8018,7255,3158,1701,1457,129,70,59,11986,6247,5739,3749,2023,1726,1293,600,693,56,25,31,2400,1398,1002,254,177,77,55,37,18,8,6,2,191,134,57,58,49,9,11,10,1,-,-,-,47,39,8
97學年,臺北市,11359,7128,4231,6007,3832,2175,376,192,184,4976,3104,1872,7387,5131,2256,4459,3152,1307,183,91,92,2745,1888,857,2821,1478,1343,987,448,539,129,70,59,1705,960,745,1089,474,615,542,218,324,56,25,31,491,231,260,42,27,15,12,8,4,8,6,2,22,13,9,20,18,2,7,6,1,-,-,-,13,12,1
97學年,高雄市,2607,1777,830,1773,1300,473,-,-,-,834,477,357,1798,1310,488,1333,1029,304,-,-,-,465,281,184,568,307,261,309,202,107,-,-,-,259,105,154,233,154,79,123,63,60,-,-,-,110,91,19,8,6,2,8,6,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,臺北縣,5075,3291,1784,560,319,241,-,-,-,4515,2972,1543,2824,2047,777,327,213,114,-,-,-,2497,1834,663,1888,1048,840,161,82,79,-,-,-,1727,966,761,328,172,156,66,21,45,-,-,-,262,151,111,33,22,11,5,2,3,-,-,-,28,20,8,2,2,-,1,1,-,-,-,-,1,1,-
97學年,宜蘭縣,658,469,189,243,183,60,-,-,-,415,286,129,365,309,56,166,140,26,-,-,-,199,169,30,246,135,111,65,37,28,-,-,-,181,98,83,41,21,20,11,5,6,-,-,-,30,16,14,6,4,2,1,1,-,-,-,-,5,3,2,-,-,-,-,-,-,-,-,-,-,-,-
97學年,桃園縣,4107,2767,1340,686,542,144,-,-,-,3421,2225,1196,2616,2007,609,584,486,98,-,-,-,2032,1521,511,1121,524,597,79,46,33,-,-,-,1042,478,564,357,225,132,23,10,13,-,-,-,334,215,119,9,7,2,-,-,-,-,-,-,9,7,2,4,4,-,-,-,-,-,-,-,4,4,-
97學年,新竹縣,717,478,239,-,-,-,-,-,-,717,478,239,327,246,81,-,-,-,-,-,-,327,246,81,336,194,142,-,-,-,-,-,-,336,194,142,45,30,15,-,-,-,-,-,-,45,30,15,9,8,1,-,-,-,-,-,-,9,8,1,-,-,-,-,-,-,-,-,-,-,-,-
97學年,苗栗縣,957,588,369,293,230,63,-,-,-,664,358,306,388,298,90,188,158,30,-,-,-,200,140,60,497,257,240,85,56,29,-,-,-,412,201,211,65,29,36,18,14,4,-,-,-,47,15,32,7,4,3,2,2,-,-,-,-,5,2,3,-,-,-,-,-,-,-,-,-,-,-,-
97學年,臺中縣,2075,1287,788,294,219,75,-,-,-,1781,1068,713,1252,877,375,162,130,32,-,-,-,1090,747,343,670,345,325,106,77,29,-,-,-,564,268,296,133,54,79,20,10,10,-,-,-,113,44,69,18,10,8,6,2,4,-,-,-,12,8,4,2,1,1,-,-,-,-,-,-,2,1,1
97學年,彰化縣,1482,1066,416,400,269,131,-,-,-,1082,797,285,1010,779,231,337,241,96,-,-,-,673,538,135,413,248,165,48,24,24,-,-,-,365,224,141,49,31,18,15,4,11,-,-,-,34,27,7,7,6,1,-,-,-,-,-,-,7,6,1,3,2,1,-,-,-,-,-,-,3,2,1
97學年,南投縣,495,359,136,251,161,90,-,-,-,244,198,46,332,247,85,228,155,73,-,-,-,104,92,12,134,94,40,15,5,10,-,-,-,119,89,30,26,16,10,7,1,6,-,-,-,19,15,4,3,2,1,1,-,1,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,雲林縣,895,691,204,680,565,115,-,-,-,215,126,89,585,491,94,510,445,65,-,-,-,75,46,29,276,180,96,146,106,40,-,-,-,130,74,56,30,17,13,22,12,10,-,-,-,8,5,3,3,3,-,2,2,-,-,-,-,1,1,-,1,-,1,-,-,-,-,-,-,1,-,1
97學年,嘉義縣,1087,789,298,498,376,122,-,-,-,589,413,176,848,637,211,480,364,116,-,-,-,368,273,95,220,137,83,14,10,4,-,-,-,206,127,79,14,11,3,4,2,2,-,-,-,10,9,1,1,1,-,-,-,-,-,-,-,1,1,-,4,3,1,-,-,-,-,-,-,4,3,1
97學年,臺南縣,3487,2195,1292,90,49,41,-,-,-,3397,2146,1251,1765,1293,472,49,24,25,-,-,-,1716,1269,447,1455,720,735,34,19,15,-,-,-,1421,701,720,236,156,80,5,4,1,-,-,-,231,152,79,29,24,5,2,2,-,-,-,-,27,22,5,2,2,-,-,-,-,-,-,-,2,2,-
97學年,高雄縣,2962,1907,1055,260,204,56,-,-,-,2702,1703,999,1588,1200,388,242,192,50,-,-,-,1346,1008,338,1119,573,546,14,9,5,-,-,-,1105,564,541,237,120,117,4,3,1,-,-,-,233,117,116,15,12,3,-,-,-,-,-,-,15,12,3,3,2,1,-,-,-,-,-,-,3,2,1
97學年,屏東縣,1790,1116,674,744,484,260,-,-,-,1046,632,414,956,679,277,574,391,183,-,-,-,382,288,94,703,358,345,123,69,54,-,-,-,580,289,291,108,61,47,41,18,23,-,-,-,67,43,24,21,16,5,5,5,-,-,-,-,16,11,5,2,2,-,1,1,-,-,-,-,1,1,-
97學年,臺東縣,220,147,73,220,147,73,-,-,-,-,-,-,141,96,45,141,96,45,-,-,-,-,-,-,64,41,23,64,41,23,-,-,-,-,-,-,15,10,5,15,10,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,花蓮縣,1177,707,470,518,329,189,-,-,-,659,378,281,757,500,257,466,302,164,-,-,-,291,198,93,335,143,192,41,21,20,-,-,-,294,122,172,71,55,16,9,5,4,-,-,-,62,50,12,10,6,4,2,1,1,-,-,-,8,5,3,4,3,1,-,-,-,-,-,-,4,3,1
97學年,澎湖縣,113,81,32,113,81,32,-,-,-,-,-,-,70,54,16,70,54,16,-,-,-,-,-,-,39,23,16,39,23,16,-,-,-,-,-,-,3,3,-,3,3,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,基隆市,681,454,227,427,347,80,-,-,-,254,107,147,420,344,76,346,301,45,-,-,-,74,43,31,210,87,123,48,35,13,-,-,-,162,52,110,46,18,28,33,11,22,-,-,-,13,7,6,1,1,-,-,-,-,-,-,-,1,1,-,4,4,-,-,-,-,-,-,-,4,4,-
97學年,新竹市,2236,1620,616,1486,1124,362,-,-,-,750,496,254,1856,1426,430,1358,1051,307,-,-,-,498,375,123,334,163,171,103,55,48,-,-,-,231,108,123,40,27,13,24,17,7,-,-,-,16,10,6,4,2,2,1,1,-,-,-,-,3,1,2,2,2,-,-,-,-,-,-,-,2,2,-
97學年,臺中市,4682,3057,1625,1520,948,572,-,-,-,3162,2109,1053,2998,2171,827,1010,737,273,-,-,-,1988,1434,554,1293,678,615,375,166,209,-,-,-,918,512,406,367,195,172,131,42,89,-,-,-,236,153,83,21,11,10,2,1,1,-,-,-,19,10,9,3,2,1,2,2,-,-,-,-,1,-,1
97學年,嘉義市,692,425,267,510,348,162,-,-,-,182,77,105,416,290,126,384,269,115,-,-,-,32,21,11,224,113,111,100,65,35,-,-,-,124,48,76,45,16,29,22,11,11,-,-,-,23,5,18,5,4,1,4,3,1,-,-,-,1,1,-,2,2,-,-,-,-,-,-,-,2,2,-
97學年,臺南市,1872,1361,511,1543,1127,416,-,-,-,329,234,95,1413,1074,339,1205,919,286,-,-,-,208,155,53,287,159,128,182,92,90,-,-,-,105,67,38,171,128,43,155,116,39,-,-,-,16,12,4,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,金門縣,75,56,19,75,56,19,-,-,-,-,-,-,55,43,12,55,43,12,-,-,-,-,-,-,20,13,7,20,13,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
